transition,metric,median_absolute_peak_to_landmark_distance,descriptive_rank,gdis_wins,ties,gdis_losses,sign_test_p,wilcoxon_p,sign_test_q_bh,wilcoxon_q_bh
T2: MES→CMES,GDIS,0.0376201649999999,4,,,,,,,
T2: MES→CMES,Total variance,0.0357369049999999,2,11.0,4.0,4.0,0.0592346191406249,0.2660649442083106,0.1421630859375,0.6050949464540121
T2: MES→CMES,Gaussian differential entropy,0.03633974,3,12.0,3.0,4.0,0.0384063720703125,0.1387651252975725,0.1152191162109375,0.4162953758927177
T2: MES→CMES,Mean pseudotemporal step distance,0.0330633049999999,1,10.0,3.0,6.0,0.2272491455078125,0.302547473227006,0.454498291015625,0.6050949464540121
T2: MES→CMES,Mean lag-1 pseudotemporal autocorrelation,0.09910972,5,14.0,1.0,4.0,0.01544189453125,0.0173349815754932,0.061767578125,0.0693399263019728
T2: MES→CMES,GDIS transition energy,0.258705465,6,18.0,1.0,0.0,3.814697265625e-06,9.821836310615568e-05,,
T3-CM: PROG→CM,GDIS,0.0953951699999999,4,,,,,,,
T3-CM: PROG→CM,Total variance,0.047541425,1,5.0,1.0,9.0,0.91021728515625,0.9379786034549524,0.9935302734375,0.9870785727701056
T3-CM: PROG→CM,Gaussian differential entropy,0.06755866,2,3.0,1.0,11.0,0.9935302734375,0.9870785727701056,0.9935302734375,0.9870785727701056
T3-CM: PROG→CM,Mean pseudotemporal step distance,0.06755866,2,3.0,1.0,11.0,0.9935302734375,0.9760051251525202,0.9935302734375,0.9870785727701056
T3-CM: PROG→CM,Mean lag-1 pseudotemporal autocorrelation,0.2039500099999999,5,12.0,1.0,2.0,0.0064697265625,0.0031592607768412,0.038818359375,0.0189555646610474
T3-CM: PROG→CM,GDIS transition energy,0.39815294,6,15.0,0.0,0.0,3.0517578125e-05,3.0517578125e-05,,
T3-CF: PROG→CF,GDIS,0.0405031724999999,4,,,,,,,
T3-CF: PROG→CF,Total variance,0.0285599975,2,3.0,1.0,10.0,0.98876953125,0.9420742512370348,0.9935302734375,0.9870785727701056
T3-CF: PROG→CF,Gaussian differential entropy,0.023790555,1,4.0,0.0,10.0,0.9713134765625,0.97100830078125,0.9935302734375,0.9870785727701056
T3-CF: PROG→CF,Mean pseudotemporal step distance,0.0285599975,2,3.0,2.0,9.0,0.980712890625,0.9319513094428032,0.9935302734375,0.9870785727701056
T3-CF: PROG→CF,Mean lag-1 pseudotemporal autocorrelation,0.222443625,5,13.0,0.0,1.0,0.00091552734375,0.00030517578125,0.010986328125,0.003662109375
T3-CF: PROG→CF,GDIS transition energy,0.29997908925,6,9.0,3.0,2.0,0.03271484375,0.0038228808464958,,
