Line,Differentiation Day,Feeder Passage,FF Passage,Date,CD,col,orig.ident,Experiment Batch,Diff Start  Batch,How many wells collected,Confluence when collected as percent,Day 0 Confluence (%),Beating on day of collection Y 1/N 0,Day this well started beating,% beating when collected,First day beating for this line/diff start,avg. day this line/diffStart started beating,"Networks+Stringy (0- none noted, 1--thin, 2- chunky, if no adjective-1)","flash freezing or cryopreserve (flash-0, cryo-1)","Sheets vs. clumps (0-no notes, 1- clumps, 2- sheets, 3-both)","debris (0-none or not noted, 1-some, 2- lots)","swirls/semi-circles/background (not noted-0, noted-1)"
NA19093,7,36,29,5/2/19,1,1,E1CD1col1,1,1,2,100,95,1,7.0,2.0,7.0,7.666666667,0,0,0,1,0
NA18858,7,18,38,5/2/19,1,2,E1CD1col2,1,1,2,100,100,0,,,8.0,8.0,2,0,0,1,0
NA18912,7,16,28,5/2/19,1,3,E1CD1col3,1,1,2,100,90,0,,,9.0,9.0,2,0,0,1,1
NA18520,7,15,38,5/2/19,1,4,E1CD1col4,1,1,2,100,90,0,,,8.0,8.0,0,0,0,1,0
NA18508,7,13,16,5/2/19,1,5,E1CD1col5,1,1,3,50,100,0,,,8.0,8.0,2,0,0,1,0
NA18511,7,15,30,5/2/19,1,6,E1CD1col6,1,1,2,100,95,0,,,8.0,8.0,0,0,0,1,1
NA19093,3,36,30,5/2/19,1,5,E1CD1col5,1,2,2,100,90,0,,,7.0,7.0,0,0,0,2,0
NA18858,3,18,40,5/2/19,1,6,E1CD1col6,1,2,2,100,100,0,,,8.0,,0,0,0,2,0
NA18912,3,16,29,5/2/19,1,1,E1CD1col1,1,2,2,95,90,0,,,9.0,,2,0,0,2,0
NA18520,3,15,40,5/2/19,1,2,E1CD1col2,1,2,2,95,100,0,,,8.0,,0,0,0,2,0
NA18508,3,13,18,5/2/19,1,3,E1CD1col3,1,2,2,100,90,0,,,7.0,7.5,0,0,0,2,0
NA18511,3,15,31,5/2/19,1,4,E1CD1col4,1,2,2,95,90,0,,,8.0,,0,0,0,2,0
NA19093,1,36,31,5/2/19,1,4,E1CD1col4,1,3,2,90,85,0,,,8.0,,0,0,0,1,0
NA18858,1,18,40,5/2/19,1,5,E1CD1col5,1,3,2,95,90,0,,,9.0,,0,0,0,1,0
NA18912,1,16,30,5/2/19,1,6,E1CD1col6,1,3,4,20,30,0,,,10.0,,0,0,0,1,0
NA18520,1,15,40,5/2/19,1,1,E1CD1col1,1,3,2,95,100,0,,,8.0,,0,0,0,1,0
NA18508,1,13,18,5/2/19,1,2,E1CD1col2,1,3,3,20,100,0,,,8.0,,0,0,0,1,0
NA18511,1,15,32,5/2/19,1,3,E1CD1col3,1,3,2,95,90,0,,,8.0,,0,0,0,1,0
