Exp,CD,col,Line,Day
1,1,1,NA19093,Day 7
1,1,1,NA18912,Day 3
1,1,1,NA18520,Day 1
1,1,2,NA18858,Day 7
1,1,2,NA18520,Day 3
1,1,2,NA18508,Day 1
1,1,3,NA18912,Day 7
1,1,3,NA18508,Day 3
1,1,3,NA18511,Day 1
1,1,4,NA18520,Day 7
1,1,4,NA18511,Day 3
1,1,4,NA19093,Day 1
1,1,5,NA18508,Day 7
1,1,5,NA19093,Day 3
1,1,5,NA18858,Day 1
1,1,6,NA18511,Day 7
1,1,6,NA18858,Day 3
1,1,6,NA18912,Day 1
1,2,1,NA19093,Day 11
1,2,1,NA18912,Day 7
1,2,1,NA18520,Day 5
1,2,2,NA18858,Day 11
1,2,2,NA18520,Day 7
1,2,2,NA18508,Day 5
1,2,3,NA18912,Day 11
1,2,3,NA18508,Day 7
1,2,3,NA18511,Day 5
1,2,4,NA18520,Day 11
1,2,4,NA18511,Day 7
1,2,4,NA19093,Day 5
1,2,5,NA18508,Day 11
1,2,5,NA19093,Day 7
1,2,5,NA18858,Day 5
1,2,6,NA18511,Day 11
1,2,6,NA18858,Day 7
1,2,6,NA18912,Day 5
1,3,1,NA19093,Day 15
1,3,1,NA18912,Day 11
1,3,1,NA18858,Day 0
1,3,2,NA18858,Day 15
1,3,2,NA18520,Day 11
1,3,2,NA18912,Day 0
1,3,3,NA18912,Day 15
1,3,3,NA18508,Day 11
1,3,3,NA18520,Day 0
1,3,4,NA18520,Day 15
1,3,4,NA18511,Day 11
1,3,4,NA18508,Day 0
1,3,5,NA18508,Day 15
1,3,5,NA19093,Day 11
1,3,5,NA18511,Day 0
1,3,6,NA18511,Day 15
1,3,6,NA18858,Day 11
1,3,6,NA19093,Day 0
2,1,1,NA19190,Day 7
2,1,1,NA18907,Day 3
2,1,1,NA18505,Day 1
2,1,2,NA18855,Day 7
2,1,2,NA18505,Day 3
2,1,2,NA19159,Day 1
2,1,3,NA18907,Day 7
2,1,3,NA19159,Day 3
2,1,3,NA18489,Day 1
2,1,4,NA18505,Day 7
2,1,4,NA18489,Day 3
2,1,4,NA18517,Day 1
2,1,5,NA19159,Day 7
2,1,5,NA18517,Day 3
2,1,5,NA19190,Day 1
2,1,6,NA18489,Day 7
2,1,6,NA19190,Day 3
2,1,6,NA18855,Day 1
2,1,7,NA18517,Day 7
2,1,7,NA18855,Day 3
2,1,7,NA18907,Day 1
2,2,1,NA19190,Day 11
2,2,1,NA18907,Day 7
2,2,1,NA18505,Day 5
2,2,2,NA18855,Day 11
2,2,2,NA18505,Day 7
2,2,2,NA19159,Day 5
2,2,3,NA18907,Day 11
2,2,3,NA19159,Day 7
2,2,3,NA18489,Day 5
2,2,4,NA18505,Day 11
2,2,4,NA18489,Day 7
2,2,4,NA18517,Day 5
2,2,5,NA19159,Day 11
2,2,5,NA18517,Day 7
2,2,5,NA19190,Day 5
2,2,6,NA18489,Day 11
2,2,6,NA19190,Day 7
2,2,6,NA18855,Day 5
2,2,7,NA18517,Day 11
2,2,7,NA18855,Day 7
2,2,7,NA18907,Day 5
2,3,1,NA19190,Day 15
2,3,1,NA18907,Day 11
2,3,1,NA18855,Day 0
2,3,2,NA18855,Day 15
2,3,2,NA18505,Day 11
2,3,2,NA18907,Day 0
2,3,3,NA18907,Day 15
2,3,3,NA19159,Day 11
2,3,3,NA18505,Day 0
2,3,4,NA18505,Day 15
2,3,4,NA18489,Day 11
2,3,4,NA19159,Day 0
2,3,5,NA19159,Day 15
2,3,5,NA18517,Day 11
2,3,5,NA18489,Day 0
2,3,6,NA18489,Day 15
2,3,6,NA19190,Day 11
2,3,6,NA18517,Day 0
2,3,7,NA18517,Day 15
2,3,7,NA18855,Day 11
2,3,7,NA19190,Day 0
3,1,1,NA18499,Day 7
3,1,1,NA19193,Day 3
3,1,1,NA18870,Day 1
3,1,2,NA19209,Day 7
3,1,2,NA18870,Day 3
3,1,2,NA19108,Day 1
3,1,3,NA19193,Day 7
3,1,3,NA19108,Day 3
3,1,3,NA19127,Day 1
3,1,4,NA18870,Day 7
3,1,4,NA19127,Day 3
3,1,4,NA18499,Day 1
3,1,5,NA19108,Day 7
3,1,5,NA18499,Day 3
3,1,5,NA19209,Day 1
3,1,6,NA19127,Day 7
3,1,6,NA19209,Day 3
3,1,6,NA19193,Day 1
3,2,1,NA18499,Day 11
3,2,1,NA19193,Day 7
3,2,1,NA18870,Day 5
3,2,2,NA19209,Day 11
3,2,2,NA18870,Day 7
3,2,2,NA19108,Day 5
3,2,3,NA19193,Day 11
3,2,3,NA19108,Day 7
3,2,3,NA19127,Day 5
3,2,4,NA18870,Day 11
3,2,4,NA19127,Day 7
3,2,4,NA18499,Day 5
3,2,5,NA19108,Day 11
3,2,5,NA18499,Day 7
3,2,5,NA19209,Day 5
3,2,6,NA19127,Day 11
3,2,6,NA19209,Day 7
3,2,6,NA19193,Day 5
3,3,1,NA18499,Day 15
3,3,1,NA19193,Day 11
3,3,1,NA19209,Day 0
3,3,2,NA19209,Day 15
3,3,2,NA18870,Day 11
3,3,2,NA19193,Day 0
3,3,3,NA19193,Day 15
3,3,3,NA19108,Day 11
3,3,3,NA18870,Day 0
3,3,4,NA18870,Day 15
3,3,4,NA19127,Day 11
3,3,4,NA19108,Day 0
3,3,5,NA19108,Day 15
3,3,5,NA18499,Day 11
3,3,5,NA19127,Day 0
3,3,6,NA19127,Day 15
3,3,6,NA19209,Day 11
3,3,6,NA18499,Day 0
