individual,IPSC,MES,CMES,PROG,CM,CF,total_expected_state_cells,has_IPSC_50,has_MES_50,has_CMES_50,has_PROG_50,has_CM_50,has_CF_50,common_early_states_all_ge_threshold,candidate_CM_coverage_flag,candidate_CF_coverage_flag
18489,2208,1386,1185,252,1826,1542,8399,True,True,True,True,True,True,True,True,True
18499,1977,6280,255,3500,1604,67,13683,True,True,True,True,True,True,True,True,True
18505,1404,2415,941,1371,1357,20,7508,True,True,True,True,True,False,True,True,False
18508,3374,1153,2410,897,1445,4648,13927,True,True,True,True,True,True,True,True,True
18511,2978,4654,468,2668,1371,2160,14299,True,True,True,True,True,True,True,True,True
18517,1681,3036,794,1482,2537,266,9796,True,True,True,True,True,True,True,True,True
18520,450,3722,1685,1796,749,2899,11301,True,True,True,True,True,True,True,True,True
18855,877,2082,295,795,715,4641,9405,True,True,True,True,True,True,True,True,True
18858,2142,5754,124,2629,1543,8,12200,True,True,True,True,True,False,True,True,False
18870,3250,2515,155,5189,495,66,11670,True,True,True,True,True,True,True,True,True
18907,1009,1163,1928,948,751,3223,9022,True,True,True,True,True,True,True,True,True
18912,3593,1568,2185,2956,2821,798,13921,True,True,True,True,True,True,True,True,True
19093,1962,7798,1176,1979,2552,3157,18624,True,True,True,True,True,True,True,True,True
19108,1386,1693,335,180,166,181,3941,True,True,True,True,True,True,True,True,True
19127,1903,1796,1342,1142,34,3944,10161,True,True,True,True,False,True,True,False,True
19159,2474,1442,816,1212,15,6909,12868,True,True,True,True,False,True,True,False,True
19190,2959,2489,1375,1921,35,8171,16950,True,True,True,True,False,True,True,False,True
19193,2364,1125,1332,1104,956,3039,9920,True,True,True,True,True,True,True,True,True
19209,1742,3106,343,3701,890,151,9933,True,True,True,True,True,True,True,True,True
