individual,n_cells,n_with_pseudotime,pseudotime_fraction,n_days,n_days_with_pseudotime,spearman_day_vs_pseudotime,daily_median_monotonicity,has_at_least_min_pseudotime_cells
18489,8559,8399,0.9813062273630097,6,6,0.8370487317984937,0.8,True
18499,14946,13683,0.9154957848253713,7,7,0.7889823474022913,1.0,True
18505,7928,7508,0.9470232088799193,6,6,0.9012183863039733,0.8,True
18508,14220,13927,0.9793952180028129,7,7,0.8404842157974787,0.5,True
18511,16098,14299,0.8882469872033794,7,7,0.8550386618132573,0.8333333333333334,True
18517,11024,9796,0.8886066763425254,7,7,0.858824133564401,0.6666666666666666,True
18520,11629,11301,0.9717946513027775,7,7,0.8595665543133029,1.0,True
18855,11034,9405,0.8523654159869495,7,7,0.809096413081846,0.8333333333333334,True
18858,14197,12200,0.8593364795379306,7,7,0.7951294115036505,1.0,True
18870,13160,11670,0.8867781155015197,7,7,0.7965144459102603,0.8333333333333334,True
18907,9222,9022,0.9783127304272392,7,7,0.8240017572773024,0.6666666666666666,True
18912,14145,13921,0.984164015553199,7,7,0.8779846795521675,0.6666666666666666,True
19093,19683,18624,0.946197226032617,7,7,0.883633913602974,0.8333333333333334,True
19108,4059,3941,0.9709288001970929,7,7,0.7576831036322628,0.8333333333333334,True
19127,10206,10161,0.9955908289241623,7,7,0.865413346446555,0.8333333333333334,True
19159,12908,12868,0.996901146575767,7,7,0.7709086895885455,0.6666666666666666,True
19190,17032,16950,0.995185533114138,7,7,0.8780071922593952,1.0,True
19193,10011,9920,0.9909099990010988,7,7,0.8232781917527976,0.8333333333333334,True
19209,10725,9933,0.9261538461538461,7,7,0.821654509472983,0.8333333333333334,True
