individual,type,n_cells,n_with_pseudotime,pseudotime_fraction,pseudotime_min,pseudotime_q25,pseudotime_median,pseudotime_mean,pseudotime_q75,pseudotime_max
18489,CF,1542.0,1542.0,1.0,0.10273468,0.324024845,0.355965305,0.3537536486485084,0.3843126725,0.4555442
18489,CM,1826.0,1826.0,1.0,0.22504203,0.3609948325,0.44328415,0.5014084323548741,0.63600563,0.9260902
18489,CMES,1185.0,1185.0,1.0,0.08158944,0.24414532,0.28783527,0.27579114432489454,0.3162815,0.3417908
18489,IPSC,2208.0,2208.0,1.0,0.00076239096,0.01798395325,0.0289205175,0.031202603857182973,0.040485229500000004,0.31490573
18489,MES,1386.0,1386.0,1.0,0.002250385,0.020190072750000003,0.0315319275,0.04479830242301587,0.0563353915,0.2999303
18489,PROG,252.0,252.0,1.0,0.044655267,0.26983369,0.30592346000000004,0.3003240551071429,0.3378209275,0.4644336
18499,CF,67.0,67.0,1.0,0.19478181,0.304300455,0.33765152,0.3267193407462686,0.35650434,0.4202795
18499,CM,1604.0,1604.0,1.0,0.15478754,0.33785320249999995,0.39467457,0.44507510786159604,0.5232797375,0.9488609
18499,CMES,255.0,255.0,1.0,0.07145209,0.18239019499999998,0.23174533,0.22505927819607843,0.270081045,0.33370656
18499,IPSC,1977.0,1977.0,1.0,0.001589355,0.017057423,0.025684807,0.0339158943969651,0.038106278,0.27938762
18499,MES,6280.0,6280.0,1.0,0.0026721903,0.036662351499999996,0.05799054,0.06884614821199045,0.08781498274999999,0.36943394
18499,PROG,3500.0,3500.0,1.0,0.062423903,0.247312735,0.28886803,0.27924040760314284,0.32081051,0.45495874
18505,CF,20.0,20.0,1.0,0.20979312,0.29872078,0.32162761500000003,0.31097894649999996,0.3389735875,0.3610175
18505,CM,1357.0,1357.0,1.0,0.25325137,0.41522866,0.55877495,0.5736738568680914,0.72205585,0.9792489
18505,CMES,941.0,941.0,1.0,0.05663472,0.2267659,0.2689006,0.2589755427693943,0.30206636,0.34144306
18505,IPSC,1404.0,1404.0,1.0,0.0004998728,0.0177241625,0.029764304,0.03260591267058405,0.04080834775,0.2891542
18505,MES,2415.0,2415.0,1.0,0.0041179648,0.035285515,0.05144926,0.0607234872105176,0.07580435299999999,0.31709936
18505,PROG,1371.0,1371.0,1.0,0.08578285,0.28907667000000004,0.31241092,0.30893357558716267,0.33011398999999997,0.5285638
18508,CF,4648.0,4648.0,1.0,0.18870515,0.3786384125,0.41162326,0.40220718936316696,0.433697585,0.4701123
18508,CM,1445.0,1445.0,1.0,0.24020377,0.45569828,0.6593754,0.6324838654878894,0.7940662,1.0
18508,CMES,2410.0,2410.0,1.0,0.13021675,0.30422205,0.325505585,0.313323825,0.33286855,0.39960623
18508,IPSC,3374.0,3374.0,1.0,0.0011004475,0.01679491925,0.027092571,0.0326585571246888,0.03967541325,0.43746823
18508,MES,1153.0,1153.0,1.0,0.0016074785,0.031008815,0.065810025,0.09129114685255856,0.12595172,0.3410214
18508,PROG,897.0,897.0,1.0,0.044323746,0.24559052,0.2775967,0.2738512987502787,0.31085587,0.47767648
18511,CF,2160.0,2160.0,1.0,0.19419566,0.3352885675,0.37330111499999996,0.3682302559814815,0.40792457,0.45959434
18511,CM,1371.0,1371.0,1.0,0.18111956,0.36236403,0.42686644,0.4760474357840992,0.55885045,0.9342706
18511,CMES,468.0,468.0,1.0,0.03544797,0.21473484,0.26849953,0.25401361414102563,0.3079508675,0.3421081
18511,IPSC,2978.0,2978.0,1.0,0.0006600192,0.0170415065,0.028513549,0.036199768051007386,0.04091847125,0.36666268
18511,MES,4654.0,4654.0,1.0,0.001780675,0.02857483325,0.04391705,0.05824113831592179,0.0706555675,0.3261314
18511,PROG,2668.0,2668.0,1.0,0.120940425,0.312212575,0.327949375,0.3207942848444527,0.3356526875,0.48105213
18517,CF,266.0,266.0,1.0,0.19096242,0.2968545525,0.321171025,0.32140581041353383,0.350579925,0.41966185
18517,CM,2537.0,2537.0,1.0,0.23264226,0.36852196,0.46599331,0.499851868782026,0.6159805,0.95426476
18517,CMES,794.0,794.0,1.0,0.05915994,0.22743584,0.27856214,0.266560665988665,0.3102833575,0.3428681
18517,IPSC,1681.0,1681.0,1.0,0.0018329098,0.016634481,0.02684189,0.031554919071445565,0.036769275,0.2996852
18517,MES,3036.0,3036.0,1.0,0.0016219292,0.02302405125,0.033099593,0.04219138501307643,0.0496064,0.29333654
18517,PROG,1482.0,1482.0,1.0,0.057539415,0.30850411,0.32714881,0.3208100745519568,0.33803584,0.5238443
18520,CF,2899.0,2899.0,1.0,0.19886589,0.35358100000000003,0.39014167,0.38380492127285276,0.41776561,0.47575754
18520,CM,749.0,749.0,1.0,0.24582939,0.36246026,0.43657294,0.49128622249666226,0.6002824,0.9203316
18520,CMES,1685.0,1685.0,1.0,0.07837313,0.25105852,0.29993442,0.2832115415964392,0.325688,0.35537446
18520,IPSC,450.0,450.0,1.0,0.0030083733,0.020112087,0.0333570725,0.04111126890444445,0.04358205475,0.41244143
18520,MES,3722.0,3722.0,1.0,0.000863764,0.028817563,0.0569987335,0.07207546152858678,0.09772634875,0.3472382
18520,PROG,1796.0,1796.0,1.0,0.065974556,0.26296537999999997,0.29552611,0.29046681596380847,0.3249215225,0.43954647
18855,CF,4641.0,4641.0,1.0,0.17943874,0.368373,0.4039907,0.39472922822021117,0.42959362,0.46618518
18855,CM,715.0,715.0,1.0,0.23154546,0.36133075000000003,0.40134957,0.45382326683916085,0.49500087,0.95088375
