individual,cm_state_profile_correlation_to_global,cf_state_profile_correlation_to_global,cm_state_median_monotonicity,cf_state_median_monotonicity
18489,0.9992765983500368,0.9964987331156331,1.0,1.0
18499,0.9921088894925434,0.9903573794311366,1.0,1.0
18505,0.980018863821767,0.9863168215319448,1.0,1.0
18508,0.9582408121037711,0.9912333072117306,0.75,0.75
18511,0.9936526030890028,0.9926775467116914,1.0,1.0
18517,0.9966431517053816,0.9795530583788785,1.0,0.75
18520,0.9996556889926884,0.9995375448600395,0.75,0.75
18855,0.9934590979911474,0.9998037072824274,1.0,1.0
18858,0.9941149300575742,0.9410704774479917,1.0,0.75
18870,0.9931976516554525,0.9962763092292481,1.0,1.0
18907,0.9923144035270602,0.9977484535069079,0.75,0.75
18912,0.9975146739657382,0.9961456783067818,1.0,1.0
19093,0.9762353751113302,0.9999121584134305,1.0,1.0
19108,0.9851521057078233,0.9978768450903526,1.0,1.0
19127,0.9736855924447891,0.9982505827849143,1.0,1.0
19159,0.9659488697944454,0.994167794818261,0.75,0.75
19190,0.9788818885945254,0.9987289212396483,1.0,1.0
19193,0.9714266827874831,0.9963733557824423,1.0,1.0
19209,0.9928907341172816,0.9937910750633364,1.0,1.0
