individual,IPSC,MES,CMES,PROG,CM,CF,core_IPSC_pass,core_MES_pass,core_CMES_pass,core_PROG_pass,shared_backbone_eligible,cm_terminal_pass,cf_terminal_pass,cm_extension_eligible,cf_extension_eligible,dual_terminal_extension_eligible
18489,2208,1386,1185,252,1826,1542,True,True,True,True,True,True,True,True,True,True
18499,1977,6280,255,3500,1604,67,True,True,True,True,True,True,False,True,False,False
18505,1404,2415,941,1371,1357,20,True,True,True,True,True,True,False,True,False,False
18508,3374,1153,2410,897,1445,4648,True,True,True,True,True,True,True,True,True,True
18511,2978,4654,468,2668,1371,2160,True,True,True,True,True,True,True,True,True,True
18517,1681,3036,794,1482,2537,266,True,True,True,True,True,True,True,True,True,True
18520,450,3722,1685,1796,749,2899,True,True,True,True,True,True,True,True,True,True
18855,877,2082,295,795,715,4641,True,True,True,True,True,True,True,True,True,True
18858,2142,5754,124,2629,1543,8,True,True,True,True,True,True,False,True,False,False
18870,3250,2515,155,5189,495,66,True,True,True,True,True,True,False,True,False,False
18907,1009,1163,1928,948,751,3223,True,True,True,True,True,True,True,True,True,True
18912,3593,1568,2185,2956,2821,798,True,True,True,True,True,True,True,True,True,True
19093,1962,7798,1176,1979,2552,3157,True,True,True,True,True,True,True,True,True,True
19108,1386,1693,335,180,166,181,True,True,True,True,True,True,True,True,True,True
19127,1903,1796,1342,1142,34,3944,True,True,True,True,True,False,True,False,True,False
19159,2474,1442,816,1212,15,6909,True,True,True,True,True,False,True,False,True,False
19190,2959,2489,1375,1921,35,8171,True,True,True,True,True,False,True,False,True,False
19193,2364,1125,1332,1104,956,3039,True,True,True,True,True,True,True,True,True,True
19209,1742,3106,343,3701,890,151,True,True,True,True,True,True,True,True,True,True
