individual,shared_backbone_median_monotonicity,cm_extension_median_monotonicity,cf_extension_median_monotonicity
18489,1.0,1.0,1.0
18499,1.0,1.0,1.0
18505,1.0,1.0,1.0
18508,0.6666666666666666,0.75,0.75
18511,1.0,1.0,1.0
18517,1.0,1.0,0.75
18520,0.6666666666666666,0.75,0.75
18855,1.0,1.0,1.0
18858,1.0,1.0,0.75
18870,1.0,1.0,1.0
18907,0.6666666666666666,0.75,0.75
18912,1.0,1.0,1.0
19093,1.0,1.0,1.0
19108,1.0,1.0,1.0
19127,1.0,1.0,1.0
19159,0.6666666666666666,0.75,0.75
19190,1.0,1.0,1.0
19193,1.0,1.0,1.0
19209,1.0,1.0,1.0
