type,individual,n_cells
CF,18489,1542
CF,18508,4648
CF,18511,2160
CF,18517,266
CF,18520,2899
CF,18855,4641
CF,18907,3223
CF,18912,798
CF,19093,3157
CF,19108,181
CF,19127,3944
CF,19159,6909
CF,19190,8171
CF,19193,3039
CF,19209,151
CM,18489,1826
CM,18499,1604
CM,18505,1357
CM,18508,1445
CM,18511,1371
CM,18517,2537
CM,18520,749
CM,18855,715
CM,18858,1543
CM,18870,495
CM,18907,751
CM,18912,2821
CM,19093,2552
CM,19108,166
CM,19193,956
CM,19209,890
CMES,18489,1185
CMES,18499,255
CMES,18505,941
CMES,18508,2410
CMES,18511,468
CMES,18517,794
CMES,18520,1685
CMES,18855,295
CMES,18858,124
CMES,18870,155
CMES,18907,1928
CMES,18912,2185
CMES,19093,1176
CMES,19108,335
CMES,19127,1342
CMES,19159,816
CMES,19190,1375
CMES,19193,1332
CMES,19209,343
IPSC,18489,2208
IPSC,18499,1977
IPSC,18505,1404
IPSC,18508,3374
IPSC,18511,2978
IPSC,18517,1681
IPSC,18520,450
IPSC,18855,877
IPSC,18858,2142
IPSC,18870,3250
IPSC,18907,1009
IPSC,18912,3593
IPSC,19093,1962
IPSC,19108,1386
IPSC,19127,1903
IPSC,19159,2474
IPSC,19190,2959
IPSC,19193,2364
IPSC,19209,1742
MES,18489,1386
MES,18499,6280
MES,18505,2415
MES,18508,1153
MES,18511,4654
MES,18517,3036
MES,18520,3722
MES,18855,2082
MES,18858,5754
MES,18870,2515
MES,18907,1163
MES,18912,1568
MES,19093,7798
MES,19108,1693
MES,19127,1796
MES,19159,1442
MES,19190,2489
MES,19193,1125
MES,19209,3106
PROG,18489,252
PROG,18499,3500
PROG,18505,1371
PROG,18508,897
PROG,18511,2668
PROG,18517,1482
PROG,18520,1796
PROG,18855,795
PROG,18858,2629
PROG,18870,5189
PROG,18907,948
PROG,18912,2956
PROG,19093,1979
PROG,19108,180
PROG,19127,1142
PROG,19159,1212
PROG,19190,1921
PROG,19193,1104
PROG,19209,3701
