var_name_unique,gene_index,gene_name_original,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm
WASH7P,1,WASH7P,True,4,0.001419365466645682,1.2537281105730471,-0.15315908
ISG15,38,ISG15,True,3,0.3028776752786781,1.991699037039922,0.7350905
AL139246.5,119,AL139246.5,True,4,0.0039022744563102945,1.5929597092667993,-0.029280744
AL513320.1,132,AL513320.1,True,4,0.005411616104530527,1.7683420053981065,0.25903797
LINC01134,146,LINC01134,True,4,0.0028022620642497516,1.6971470024055342,0.14314397
AL031847.1,158,AL031847.1,True,4,0.004939929343515874,1.7377627723296925,0.21836174
RNF207,159,RNF207,True,4,0.06205381732903231,2.122192322080073,0.8554842
HES2,166,HES2,True,4,0.007131422877684697,1.7075077144013502,0.13992885
AL359881.1,185,AL359881.1,True,5,0.002170811084567559,1.6957669922857554,0.14131904
TNFRSF9,191,TNFRSF9,True,4,0.013175331077395273,2.015292632858314,0.70662344
CLCN6,291,CLCN6,True,4,0.09328469613657908,2.1415643363214403,0.88681513
NPPA,292,NPPA,True,19,0.6432779078825469,4.112279993224392,9.691876
NPPB,293,NPPB,True,18,0.5671191322661426,3.821109021269634,9.2725
RPL10P17,308,RPL10P17,True,5,0.0019701886601176514,1.631992865684104,0.021930454
HSPB7,363,HSPB7,True,3,0.08247742603097566,2.157837971802821,0.911606
CLCNKB,365,CLCNKB,True,3,0.022730745117955614,2.064589151317163,0.74405986
AL451042.2,368,AL451042.2,True,4,0.0008610416037204993,1.437326875618954,-0.1792032
AL031728.1,470,AL031728.1,True,5,0.0015666279491458178,1.7260637322721073,0.17648311
NBPF2P,472,NBPF2P,True,4,0.005583888230982664,1.826932172808211,0.5114872
AL445253.1,490,AL445253.1,True,4,0.0013999240286103466,1.5005441656064922,-0.07946133
HTR1D,502,HTR1D,True,4,0.003567286854262624,1.5291802337700353,-0.15739138
TCEA3,510,TCEA3,True,12,0.1157359259209179,2.342705644981253,1.2868263
AL357134.1,511,AL357134.1,True,4,0.001419277126638581,1.4393992435694547,-0.26828274
ID3,515,ID3,True,5,1.6090987955442613,2.3166689578062925,0.9042269
GRHL3,535,GRHL3,True,7,0.0032051443684136425,1.8389257702139692,0.43855366
RSRP1,552,RSRP1,True,11,0.6048970766102786,2.1779541581123962,1.454345
SLC30A2,578,SLC30A2,True,5,0.0008749169731167174,1.2096187800135936,-0.11557383
AL512408.1,604,AL512408.1,True,4,0.006065627451773407,1.9087149467379705,0.50829434
AL512288.2,661,AL512288.2,True,4,0.0008982701553909874,1.2948870725462251,-0.1915148
AL137792.2,664,AL137792.2,True,4,0.0007428953212511001,1.087041531759352,-0.40075436
AL513497.1,680,AL513497.1,True,4,0.00427085168229269,1.825312896136467,0.36128792
MATN1,699,MATN1,True,4,0.004392302354592182,1.8421134735760554,0.4017306
AL445248.1,732,AL445248.1,True,4,0.003494464295468398,1.6616268921621156,0.109853424
AL513327.2,785,AL513327.2,True,6,0.0017824058446122512,1.605162272681061,0.10353332
GJB3,793,GJB3,True,4,0.0010096450016075442,1.1477916187911317,-0.49594137
CSF3R,843,CSF3R,True,3,0.02275405041231037,2.0518518608048724,0.7310681
AC117945.2,845,AC117945.2,True,5,0.019107419370894326,1.9443871486920865,0.5600493
RSPO1,857,RSPO1,True,4,0.044967686238605864,2.0700009988629575,0.7773021
RNU6-510P,871,RNU6-510P,True,4,0.005490468667772359,1.8178202703665773,0.3458168
HPCAL4,903,HPCAL4,True,5,0.07849963573561346,2.157007075587086,0.99871236
CITED4,945,CITED4,True,7,0.006519715550097299,1.9100326784541586,0.49330914
RPL23AP17,953,RPL23AP17,True,4,0.0012127459196986817,1.517082188557127,-0.028841985
AC093151.6,957,AC093151.6,True,4,0.0061770490305832,1.8403274900906554,0.5830713
AL513331.1,967,AL513331.1,True,4,0.002038863245441785,1.595500477275022,0.015558456
SNORD38A,1049,SNORD38A,True,4,0.003521542339166874,1.7308054198564407,0.21046731
AL136380.1,1056,AL136380.1,True,4,0.0017357724507282809,1.633485282798643,0.02314299
PRDX1,1073,PRDX1,True,8,2.497237787236085,2.731881667264291,1.0963575
AL358075.3,1089,AL358075.3,True,4,0.003336035069306234,1.7253904852122368,0.2041921
TEX38,1107,TEX38,True,7,0.001972207346218986,1.7116713242461767,0.2553635
AC104170.1,1170,AC104170.1,True,4,0.0012544999401589644,1.60538616918602,0.14467368
AL513218.1,1193,AL513218.1,True,5,0.0011209737394755738,1.468556262797521,-0.121148705
EEF1GP7,1200,EEF1GP7,True,4,0.0030328640951302567,1.6708399594110432,0.12022599
AC099677.1,1210,AC099677.1,True,5,0.0037833856336608658,1.995845858720508,0.6174823
TUBBP10,1216,TUBBP10,True,4,0.0011136489424754474,1.3363972572631837,-0.24739732
ACOT11,1257,ACOT11,True,3,0.02148261979131358,2.0215519373183266,0.6804974
PLPP3,1278,PLPP3,True,4,0.31160189036678,2.044396436331807,0.8744715
FYB2,1283,FYB2,True,4,0.1089216080568733,2.184246841825193,0.9604625
JUN,1298,JUN,True,18,0.5076144603744718,2.4101853753568885,2.6161723
PHBP3,1302,PHBP3,True,4,0.00228380107531802,1.619139223762203,0.02770989
L1TD1,1325,L1TD1,True,14,2.253246680889853,2.8520076418637763,2.0305805
FOXD3-AS1,1338,FOXD3-AS1,True,5,0.6270255797799156,2.0346208657584564,0.6851701
JAK1,1357,JAK1,True,3,0.4618686348096446,2.0560315484478253,0.82365143
LEPROT,1371,LEPROT,True,4,0.676301983476849,2.055839555782697,0.6205196
AL389925.1,1385,AL389925.1,True,4,0.00114802274592417,1.4349590808037487,-0.16819362
