config,scope,individual,window_size,step_size,n_cells,n_windows,n_covered_unique_cells,cell_coverage_fraction,parameter_min,parameter_max,strict_increment_fraction,tie_fraction,parameters_non_decreasing,parameters_strictly_increasing,all_expected_states_present,trajectory_shape,trajectory_values_finite
primary_w400_s100,shared_backbone,18489,400,100,5031,47,5000,0.9938382031405287,0.0093122065,0.32634978000000003,1.0,0.0,True,True,True,47x400x50,True
primary_w400_s100,shared_backbone,18499,400,100,12012,117,12000,0.999000999000999,0.0105001885,0.345389095,1.0,0.0,True,True,True,117x400x50,True
primary_w400_s100,shared_backbone,18505,400,100,6131,58,6100,0.9949437285923993,0.012318797499999999,0.33720859999999997,1.0,0.0,True,True,True,58x400x50,True
primary_w400_s100,shared_backbone,18508,400,100,7834,75,7800,0.9956599438345672,0.008214258,0.3386987,1.0,0.0,True,True,True,75x400x50,True
primary_w400_s100,shared_backbone,18511,400,100,10768,104,10700,0.9936849925705795,0.008324772000000001,0.34631432,1.0,0.0,True,True,True,104x400x50,True
primary_w400_s100,shared_backbone,18517,400,100,6993,66,6900,0.9867009867009867,0.0107778705,0.3413911,1.0,0.0,True,True,True,66x400x50,True
primary_w400_s100,shared_backbone,18520,400,100,7653,73,7600,0.9930746112635568,0.013443681499999999,0.340759455,1.0,0.0,True,True,True,73x400x50,True
primary_w400_s100,shared_backbone,18855,400,100,4049,37,4000,0.9878982464806125,0.01420406175,0.33273144,1.0,0.0,True,True,True,37x400x50,True
primary_w400_s100,shared_backbone,18858,400,100,10649,103,10600,0.9953986289792469,0.008778636,0.34914847000000004,1.0,0.0,True,True,True,103x400x50,True
primary_w400_s100,shared_backbone,18870,400,100,11109,108,11100,0.9991898460707535,0.0072889432,0.35179528,1.0,0.0,True,True,True,108x400x50,True
primary_w400_s100,shared_backbone,18907,400,100,5048,47,5000,0.9904912836767037,0.014147929,0.337738305,1.0,0.0,True,True,True,47x400x50,True
primary_w400_s100,shared_backbone,18912,400,100,10302,100,10300,0.9998058629392351,0.0080636965,0.3727237,1.0,0.0,True,True,True,100x400x50,True
primary_w400_s100,shared_backbone,19093,400,100,12915,126,12900,0.9988385598141696,0.012019524,0.346556335,1.0,0.0,True,True,True,126x400x50,True
primary_w400_s100,shared_backbone,19108,400,100,3594,32,3500,0.9738452977184195,0.013453955,0.29461435,1.0,0.0,True,True,True,32x400x50,True
primary_w400_s100,shared_backbone,19127,400,100,6183,58,6100,0.9865760957464014,0.009876764,0.36445006999999996,1.0,0.0,True,True,True,58x400x50,True
primary_w400_s100,shared_backbone,19159,400,100,5944,56,5900,0.9925975773889637,0.011886392999999999,0.401277645,1.0,0.0,True,True,True,56x400x50,True
primary_w400_s100,shared_backbone,19190,400,100,8744,84,8700,0.994967978042086,0.008986359499999999,0.364080545,1.0,0.0,True,True,True,84x400x50,True
primary_w400_s100,shared_backbone,19193,400,100,5925,56,5900,0.9957805907172996,0.009603269,0.35780535,1.0,0.0,True,True,True,56x400x50,True
primary_w400_s100,shared_backbone,19209,400,100,8892,85,8800,0.9896536212325686,0.010101056,0.365858085,1.0,0.0,True,True,True,85x400x50,True
primary_w400_s100,cm_extension,18489,400,100,6857,65,6800,0.9916873268193087,0.0093122065,0.73342248,1.0,0.0,True,True,True,65x400x50,True
primary_w400_s100,cm_extension,18499,400,100,13616,133,13600,0.9988249118683902,0.0105001885,0.6397139000000001,1.0,0.0,True,True,True,133x400x50,True
primary_w400_s100,cm_extension,18505,400,100,7488,71,7400,0.9882478632478633,0.012318797499999999,0.7460287,1.0,0.0,True,True,True,71x400x50,True
primary_w400_s100,cm_extension,18508,400,100,9279,89,9200,0.9914861515249488,0.008214258,0.82214742,1.0,0.0,True,True,True,89x400x50,True
primary_w400_s100,cm_extension,18511,400,100,12139,118,12100,0.9967872147623362,0.008324772000000001,0.63081645,1.0,0.0,True,True,True,118x400x50,True
primary_w400_s100,cm_extension,18517,400,100,9530,92,9500,0.9968520461699895,0.0107778705,0.7437650849999999,1.0,0.0,True,True,True,92x400x50,True
primary_w400_s100,cm_extension,18520,400,100,8402,81,8400,0.9997619614377529,0.013443681499999999,0.5861136,1.0,0.0,True,True,True,81x400x50,True
primary_w400_s100,cm_extension,18855,400,100,4764,44,4700,0.9865659109991604,0.01420406175,0.420748335,1.0,0.0,True,True,True,44x400x50,True
primary_w400_s100,cm_extension,18858,400,100,12192,118,12100,0.9924540682414699,0.008778636,0.679256945,1.0,0.0,True,True,True,118x400x50,True
primary_w400_s100,cm_extension,18870,400,100,11604,113,11600,0.9996552912788693,0.0072889432,0.37247054,1.0,0.0,True,True,True,113x400x50,True
primary_w400_s100,cm_extension,18907,400,100,5799,54,5700,0.9829280910501811,0.014147929,0.42500528000000004,1.0,0.0,True,True,True,54x400x50,True
primary_w400_s100,cm_extension,18912,400,100,13123,128,13100,0.9982473519774442,0.0080636965,0.8515687000000001,1.0,0.0,True,True,True,128x400x50,True
primary_w400_s100,cm_extension,19093,400,100,15467,151,15400,0.9956681968061033,0.012019524,0.8289179200000001,1.0,0.0,True,True,True,151x400x50,True
primary_w400_s100,cm_extension,19108,400,100,3760,34,3700,0.9840425531914894,0.013453955,0.32432611499999997,1.0,0.0,True,True,True,34x400x50,True
primary_w400_s100,cm_extension,19193,400,100,6881,65,6800,0.9882284551664002,0.009603269,0.43576476,1.0,0.0,True,True,True,65x400x50,True
primary_w400_s100,cm_extension,19209,400,100,9782,94,9700,0.9916172561848293,0.010101056,0.49666047,1.0,0.0,True,True,True,94x400x50,True
primary_w400_s100,cf_extension,18489,400,100,6573,62,6500,0.9888939601399666,0.0093122065,0.39761314999999997,1.0,0.0,True,True,True,62x400x50,True
primary_w400_s100,cf_extension,18508,400,100,12482,121,12400,0.9934305399775677,0.008214258,0.44899516,1.0,0.0,True,True,True,121x400x50,True
primary_w400_s100,cf_extension,18511,400,100,12928,126,12900,0.9978341584158416,0.008324772000000001,0.430135935,1.0,0.0,True,True,True,126x400x50,True
primary_w400_s100,cf_extension,18517,400,100,7259,69,7200,0.9918721586995454,0.0107778705,0.349083435,1.0,0.0,True,True,True,69x400x50,True
primary_w400_s100,cf_extension,18520,400,100,10552,102,10500,0.9950720242608037,0.013443681499999999,0.43961087,1.0,0.0,True,True,True,102x400x50,True
primary_w400_s100,cf_extension,18855,400,100,8690,83,8600,0.9896432681242808,0.01420406175,0.447423815,1.0,0.0,True,True,True,83x400x50,True
primary_w400_s100,cf_extension,18907,400,100,8271,79,8200,0.991415790110023,0.014147929,0.430679515,1.0,0.0,True,True,True,79x400x50,True
primary_w400_s100,cf_extension,18912,400,100,11100,108,11100,1.0,0.0080636965,0.39589111499999996,1.0,0.0,True,True,True,108x400x50,True
primary_w400_s100,cf_extension,19093,400,100,16072,157,16000,0.9955201592832255,0.012019524,0.446863455,1.0,0.0,True,True,True,157x400x50,True
primary_w400_s100,cf_extension,19108,400,100,3775,34,3700,0.9801324503311258,0.013453955,0.325725825,1.0,0.0,True,True,True,34x400x50,True
primary_w400_s100,cf_extension,19127,400,100,10127,98,10100,0.997333859978276,0.009876764,0.450146245,1.0,0.0,True,True,True,98x400x50,True
primary_w400_s100,cf_extension,19159,400,100,12853,125,12800,0.9958764490780363,0.011886392999999999,0.45745587499999996,1.0,0.0,True,True,True,125x400x50,True
primary_w400_s100,cf_extension,19190,400,100,16915,166,16900,0.9991132131244458,0.008986359499999999,0.4541094,1.0,0.0,True,True,True,166x400x50,True
primary_w400_s100,cf_extension,19193,400,100,8964,86,8900,0.9928603302097277,0.009603269,0.44356114,1.0,0.0,True,True,True,86x400x50,True
primary_w400_s100,cf_extension,19209,400,100,9043,87,9000,0.9952449408382174,0.010101056,0.3712456,1.0,0.0,True,True,True,87x400x50,True
