scope,individual,state,state_median_pseudotime,nearest_window_index,nearest_window_parameter,absolute_parameter_difference,nearest_window_median_day,nearest_window_dominant_state
shared_backbone,18489,IPSC,0.0289205175,15,0.0284677495,0.0004527679999999992,0.0,IPSC
shared_backbone,18489,MES,0.0315319275,17,0.031603558000000004,7.163050000000282e-05,0.0,IPSC
shared_backbone,18489,CMES,0.28783527,41,0.290208385,0.0023731150000000367,3.0,CMES
shared_backbone,18489,PROG,0.30592346,43,0.30727236,0.0013489000000000417,3.0,CMES
shared_backbone,18499,IPSC,0.025684807,15,0.0252816145,0.00040319249999999987,1.0,MES
shared_backbone,18499,MES,0.05799054,47,0.0580239595,3.341949999999955e-05,1.0,MES
shared_backbone,18499,CMES,0.23174533,88,0.23346748,0.0017221500000000056,7.0,PROG
shared_backbone,18499,PROG,0.28886803,100,0.28824932999999997,0.0006187000000000276,7.0,PROG
shared_backbone,18505,IPSC,0.029764304,9,0.029515793499999998,0.00024851050000000013,1.0,MES
shared_backbone,18505,MES,0.05144926,23,0.0519555335,0.0005062735000000013,1.0,MES
shared_backbone,18505,CMES,0.2689006,43,0.27107464000000003,0.0021740400000000437,3.0,CMES
shared_backbone,18505,PROG,0.31241092,51,0.312769685,0.00035876500000003864,7.0,PROG
shared_backbone,18508,IPSC,0.027092571,17,0.0268772265,0.000215344499999999,0.0,IPSC
shared_backbone,18508,MES,0.065810025,35,0.061912874,0.0038971509999999945,0.0,MES
shared_backbone,18508,CMES,0.325505585,63,0.32584073999999996,0.0003351549999999759,3.0,CMES
shared_backbone,18508,PROG,0.2775967,50,0.276671675,0.0009250249999999682,3.0,CMES
shared_backbone,18511,IPSC,0.028513549,25,0.028841499,0.00032795000000000046,1.0,MES
shared_backbone,18511,MES,0.04391705,45,0.043911335999999995,5.714000000003883e-06,1.0,MES
shared_backbone,18511,CMES,0.26849953,78,0.26497455000000003,0.0035249799999999554,5.0,PROG
shared_backbone,18511,PROG,0.327949375,92,0.327938705,1.066999999999041e-05,5.0,PROG
shared_backbone,18517,IPSC,0.02684189,17,0.026823638,1.825199999999985e-05,1.0,MES
shared_backbone,18517,MES,0.033099593,24,0.0330389495,6.064349999999885e-05,1.0,MES
shared_backbone,18517,CMES,0.27856214,51,0.28310324,0.004541099999999965,3.0,CMES
shared_backbone,18517,PROG,0.32714881,60,0.32741697,0.00026815999999996176,5.0,PROG
shared_backbone,18520,IPSC,0.0333570725,11,0.0324748025,0.0008822700000000044,1.0,MES
shared_backbone,18520,MES,0.0569987335,21,0.0581018905,0.0011031570000000004,1.0,MES
