config,scope,individual,transition_id,destination_state,destination_state_median_pseudotime,parameter_min,parameter_max,landmark_minus_parameter_max,landmark_inside_parameter_range,n_windows
primary_w400_s100,cf_extension,18489,T3_CF,CF,0.355965305,0.0093122065,0.3976131499999999,-0.041647844999999906,True,62
primary_w400_s100,cf_extension,18508,T3_CF,CF,0.41162326,0.008214258,0.44899516,-0.03737190000000001,True,121
primary_w400_s100,cf_extension,18511,T3_CF,CF,0.3733011149999999,0.008324772,0.430135935,-0.05683482000000012,True,126
primary_w400_s100,cf_extension,18517,T3_CF,CF,0.321171025,0.0107778705,0.349083435,-0.02791241,True,69
primary_w400_s100,cf_extension,18520,T3_CF,CF,0.39014167,0.0134436814999999,0.43961087,-0.04946919999999999,True,102
primary_w400_s100,cf_extension,18855,T3_CF,CF,0.4039907,0.01420406175,0.447423815,-0.04343311500000002,True,83
primary_w400_s100,cf_extension,18907,T3_CF,CF,0.3817951,0.014147929,0.430679515,-0.048884415000000014,True,79
primary_w400_s100,cf_extension,18912,T3_CF,CF,0.36847245,0.0080636965,0.3958911149999999,-0.027418664999999898,True,108
primary_w400_s100,cf_extension,19093,T3_CF,CF,0.4099755,0.012019524,0.446863455,-0.03688795500000003,True,157
primary_w400_s100,cf_extension,19108,T3_CF,CF,0.37690464,0.013453955,0.325725825,0.05117881499999999,False,34
primary_w400_s100,cf_extension,19127,T3_CF,CF,0.40934077,0.009876764,0.450146245,-0.04080547499999998,True,98
primary_w400_s100,cf_extension,19159,T3_CF,CF,0.43521515,0.0118863929999999,0.4574558749999999,-0.022240724999999906,True,125
primary_w400_s100,cf_extension,19190,T3_CF,CF,0.41572344,0.0089863594999999,0.4541094,-0.03838596,True,166
primary_w400_s100,cf_extension,19193,T3_CF,CF,0.39365986,0.009603269,0.44356114,-0.04990128000000005,True,86
primary_w400_s100,cf_extension,19209,T3_CF,CF,0.3508313,0.010101056,0.3712456,-0.020414299999999996,True,87
primary_w400_s100,cm_extension,18489,T3_CM,CM,0.44328415,0.0093122065,0.73342248,-0.29013833,True,65
primary_w400_s100,cm_extension,18499,T3_CM,CM,0.39467457,0.0105001885,0.6397139000000001,-0.24503933000000006,True,133
primary_w400_s100,cm_extension,18505,T3_CM,CM,0.55877495,0.0123187974999999,0.7460287,-0.18725375,True,71
primary_w400_s100,cm_extension,18508,T3_CM,CM,0.6593754,0.008214258,0.82214742,-0.16277202000000002,True,89
primary_w400_s100,cm_extension,18511,T3_CM,CM,0.42686644,0.008324772,0.63081645,-0.20395000999999996,True,118
primary_w400_s100,cm_extension,18517,T3_CM,CM,0.46599331,0.0107778705,0.7437650849999999,-0.27777177499999994,True,92
primary_w400_s100,cm_extension,18520,T3_CM,CM,0.43657294,0.0134436814999999,0.5861136,-0.14954066,True,81
primary_w400_s100,cm_extension,18855,T3_CM,CM,0.40134957,0.01420406175,0.420748335,-0.019398764999999984,True,44
primary_w400_s100,cm_extension,18858,T3_CM,CM,0.49036673,0.008778636,0.679256945,-0.18889021500000003,True,118
primary_w400_s100,cm_extension,18870,T3_CM,CM,0.35724792,0.0072889432,0.37247054,-0.01522262000000002,True,113
primary_w400_s100,cm_extension,18907,T3_CM,CM,0.40318394,0.014147929,0.42500528,-0.021821339999999967,True,54
primary_w400_s100,cm_extension,18912,T3_CM,CM,0.5144707,0.0080636965,0.8515687000000001,-0.3370980000000001,True,128
primary_w400_s100,cm_extension,19093,T3_CM,CM,0.6336237849999999,0.012019524,0.8289179200000001,-0.19529413500000015,True,151
primary_w400_s100,cm_extension,19108,T3_CM,CM,0.37534056,0.013453955,0.3243261149999999,0.051014445000000075,False,34
primary_w400_s100,cm_extension,19193,T3_CM,CM,0.374162195,0.009603269,0.43576476,-0.061602565,True,65
primary_w400_s100,cm_extension,19209,T3_CM,CM,0.3930151149999999,0.010101056,0.49666047,-0.1036453550000001,True,94
primary_w400_s100,shared_backbone,18489,T2,CMES,0.28783527,0.0093122065,0.32634978,-0.03851451,True,47
primary_w400_s100,shared_backbone,18499,T2,CMES,0.23174533,0.0105001885,0.345389095,-0.11364376499999998,True,117
primary_w400_s100,shared_backbone,18505,T2,CMES,0.2689006,0.0123187974999999,0.3372085999999999,-0.06830799999999992,True,58
primary_w400_s100,shared_backbone,18508,T2,CMES,0.325505585,0.008214258,0.3386987,-0.013193115000000033,True,75
primary_w400_s100,shared_backbone,18511,T2,CMES,0.26849953,0.008324772,0.34631432,-0.07781479000000002,True,104
primary_w400_s100,shared_backbone,18517,T2,CMES,0.27856214,0.0107778705,0.3413911,-0.06282895999999999,True,66
primary_w400_s100,shared_backbone,18520,T2,CMES,0.29993442,0.0134436814999999,0.340759455,-0.04082503500000001,True,73
primary_w400_s100,shared_backbone,18855,T2,CMES,0.3059474,0.01420406175,0.33273144,-0.02678404000000001,True,37
primary_w400_s100,shared_backbone,18858,T2,CMES,0.27102716,0.008778636,0.34914847,-0.07812131,True,103
primary_w400_s100,shared_backbone,18870,T2,CMES,0.25883543,0.0072889432,0.35179528,-0.09295985000000001,True,108
primary_w400_s100,shared_backbone,18907,T2,CMES,0.30431904,0.014147929,0.337738305,-0.03341926500000003,True,47
primary_w400_s100,shared_backbone,18912,T2,CMES,0.31262648,0.0080636965,0.3727237,-0.06009722000000001,True,100
primary_w400_s100,shared_backbone,19093,T2,CMES,0.31081943,0.012019524,0.346556335,-0.035736904999999985,True,126
primary_w400_s100,shared_backbone,19108,T2,CMES,0.293644,0.013453955,0.29461435,-0.0009703500000000087,True,32
primary_w400_s100,shared_backbone,19127,T2,CMES,0.30796184,0.009876764,0.3644500699999999,-0.05648822999999992,True,58
primary_w400_s100,shared_backbone,19159,T2,CMES,0.33477678,0.0118863929999999,0.401277645,-0.06650086500000002,True,56
primary_w400_s100,shared_backbone,19190,T2,CMES,0.31270877,0.0089863594999999,0.364080545,-0.05137177499999995,True,84
primary_w400_s100,shared_backbone,19193,T2,CMES,0.32815273,0.009603269,0.35780535,-0.02965262000000002,True,56
primary_w400_s100,shared_backbone,19209,T2,CMES,0.2835148,0.010101056,0.365858085,-0.08234328499999999,True,85
sensitivity_w300_s75,cf_extension,18489,T3_CF,CF,0.355965305,0.008365918,0.40836466,-0.05239935499999998,True,84
sensitivity_w300_s75,cf_extension,18508,T3_CF,CF,0.41162326,0.00738428475,0.45170021,-0.04007695,True,163
sensitivity_w300_s75,cf_extension,18511,T3_CF,CF,0.3733011149999999,0.00714912,0.434431,-0.061129885000000106,True,169
sensitivity_w300_s75,cf_extension,18517,T3_CF,CF,0.321171025,0.0092154322499999,0.352208925,-0.031037900000000007,True,93
sensitivity_w300_s75,cf_extension,18520,T3_CF,CF,0.39014167,0.012137932,0.4420368799999999,-0.051895209999999914,True,137
sensitivity_w300_s75,cf_extension,18855,T3_CF,CF,0.4039907,0.0124110445,0.44975002,-0.04575931999999999,True,112
sensitivity_w300_s75,cf_extension,18907,T3_CF,CF,0.3817951,0.0126797615,0.437807695,-0.056012595,True,107
sensitivity_w300_s75,cf_extension,18912,T3_CF,CF,0.36847245,0.0071231108,0.400937075,-0.03246462499999997,True,145
sensitivity_w300_s75,cf_extension,19093,T3_CF,CF,0.4099755,0.0108430015,0.44988659,-0.03991108999999998,True,211
sensitivity_w300_s75,cf_extension,19108,T3_CF,CF,0.37690464,0.01228463625,0.34072692,0.036177720000000024,False,47
sensitivity_w300_s75,cf_extension,19127,T3_CF,CF,0.40934077,0.008907017,0.4522747849999999,-0.04293401499999988,True,132
sensitivity_w300_s75,cf_extension,19159,T3_CF,CF,0.43521515,0.010642195,0.4592356549999999,-0.024020504999999914,True,168
sensitivity_w300_s75,cf_extension,19190,T3_CF,CF,0.41572344,0.008112502,0.454720305,-0.03899686499999999,True,222
sensitivity_w300_s75,cf_extension,19193,T3_CF,CF,0.39365986,0.00867666,0.446721125,-0.053061265000000024,True,116
sensitivity_w300_s75,cf_extension,19209,T3_CF,CF,0.3508313,0.009003258,0.37544447,-0.024613169999999962,True,117
sensitivity_w300_s75,cm_extension,18489,T3_CM,CM,0.44328415,0.008365918,0.7742872000000001,-0.3310030500000001,True,88
sensitivity_w300_s75,cm_extension,18499,T3_CM,CM,0.39467457,0.009174377,0.6582487850000001,-0.26357421500000006,True,178
sensitivity_w300_s75,cm_extension,18505,T3_CM,CM,0.55877495,0.010670827,0.795588565,-0.23681361499999998,True,96
sensitivity_w300_s75,cm_extension,18508,T3_CM,CM,0.6593754,0.00738428475,0.8471157,-0.18774030000000008,True,120
sensitivity_w300_s75,cm_extension,18511,T3_CM,CM,0.42686644,0.00714912,0.649413335,-0.22254689499999997,True,158
sensitivity_w300_s75,cm_extension,18517,T3_CM,CM,0.46599331,0.0092154322499999,0.77796643,-0.31197312,True,124
sensitivity_w300_s75,cm_extension,18520,T3_CM,CM,0.43657294,0.012137932,0.639629365,-0.20305642499999998,True,109
sensitivity_w300_s75,cm_extension,18855,T3_CM,CM,0.40134957,0.0124110445,0.478234575,-0.076885005,True,60
sensitivity_w300_s75,cm_extension,18858,T3_CM,CM,0.49036673,0.007924894,0.74360862,-0.2532418900000001,True,159
sensitivity_w300_s75,cm_extension,18870,T3_CM,CM,0.35724792,0.0065033444999999,0.37247054,-0.01522262000000002,True,151
sensitivity_w300_s75,cm_extension,18907,T3_CM,CM,0.40318394,0.0126797615,0.582745665,-0.179561725,True,74
sensitivity_w300_s75,cm_extension,18912,T3_CM,CM,0.5144707,0.0071231108,0.8515687000000001,-0.3370980000000001,True,171
sensitivity_w300_s75,cm_extension,19093,T3_CM,CM,0.6336237849999999,0.0108430015,0.85052102,-0.21689723500000002,True,203
sensitivity_w300_s75,cm_extension,19108,T3_CM,CM,0.37534056,0.01228463625,0.3384902749999999,0.036850285000000094,False,47
sensitivity_w300_s75,cm_extension,19193,T3_CM,CM,0.374162195,0.00867666,0.52093135,-0.14676915500000004,True,88
sensitivity_w300_s75,cm_extension,19209,T3_CM,CM,0.3930151149999999,0.009003258,0.6121491,-0.2191339850000001,True,127
sensitivity_w300_s75,shared_backbone,18489,T2,CMES,0.28783527,0.008365918,0.33052872,-0.04269345000000002,True,64
sensitivity_w300_s75,shared_backbone,18499,T2,CMES,0.23174533,0.009174377,0.3508823199999999,-0.11913698999999991,True,157
sensitivity_w300_s75,shared_backbone,18505,T2,CMES,0.2689006,0.010670827,0.33935088,-0.07045028000000003,True,78
sensitivity_w300_s75,shared_backbone,18508,T2,CMES,0.325505585,0.00738428475,0.3400418149999999,-0.014536229999999928,True,101
sensitivity_w300_s75,shared_backbone,18511,T2,CMES,0.26849953,0.00714912,0.35132421,-0.08282468000000004,True,140
sensitivity_w300_s75,shared_backbone,18517,T2,CMES,0.27856214,0.0092154322499999,0.35022321,-0.07166107,True,90
sensitivity_w300_s75,shared_backbone,18520,T2,CMES,0.29993442,0.012137932,0.350364655,-0.050430235000000045,True,99
sensitivity_w300_s75,shared_backbone,18855,T2,CMES,0.3059474,0.0124110445,0.33437242,-0.028425020000000023,True,50
sensitivity_w300_s75,shared_backbone,18858,T2,CMES,0.27102716,0.007924894,0.351428795,-0.08040163500000003,True,138
sensitivity_w300_s75,shared_backbone,18870,T2,CMES,0.25883543,0.0065033444999999,0.355285125,-0.096449695,True,145
sensitivity_w300_s75,shared_backbone,18907,T2,CMES,0.30431904,0.0126797615,0.342367205,-0.03804816500000002,True,64
sensitivity_w300_s75,shared_backbone,18912,T2,CMES,0.31262648,0.0071231108,0.374589905,-0.061963425000000016,True,134
sensitivity_w300_s75,shared_backbone,19093,T2,CMES,0.31081943,0.0108430015,0.3497120449999999,-0.03889261499999991,True,169
sensitivity_w300_s75,shared_backbone,19108,T2,CMES,0.293644,0.01228463625,0.3100454849999999,-0.016401484999999882,True,44
sensitivity_w300_s75,shared_backbone,19127,T2,CMES,0.30796184,0.008907017,0.37352534,-0.0655635,True,79
sensitivity_w300_s75,shared_backbone,19159,T2,CMES,0.33477678,0.010642195,0.4082194249999999,-0.07344264499999992,True,76
sensitivity_w300_s75,shared_backbone,19190,T2,CMES,0.31270877,0.008112502,0.3672752,-0.05456643,True,113
sensitivity_w300_s75,shared_backbone,19193,T2,CMES,0.32815273,0.00867666,0.367559775,-0.039407044999999974,True,76
sensitivity_w300_s75,shared_backbone,19209,T2,CMES,0.2835148,0.009003258,0.37206294,-0.08854814,True,115
sensitivity_w500_s125,cf_extension,18489,T3_CF,CF,0.355965305,0.0103664355,0.391360535,-0.03539523,True,49
sensitivity_w500_s125,cf_extension,18508,T3_CF,CF,0.41162326,0.0090188367499999,0.44745659,-0.03583333,True,96
sensitivity_w500_s125,cf_extension,18511,T3_CF,CF,0.3733011149999999,0.0091316087499999,0.42397834,-0.0506772250000001,True,100
sensitivity_w500_s125,cf_extension,18517,T3_CF,CF,0.321171025,0.011736649,0.349083435,-0.02791241,True,55
sensitivity_w500_s125,cf_extension,18520,T3_CF,CF,0.39014167,0.014662975,0.437395035,-0.04725336499999999,True,81
sensitivity_w500_s125,cf_extension,18855,T3_CF,CF,0.4039907,0.015474063,0.446849805,-0.04285910500000001,True,66
sensitivity_w500_s125,cf_extension,18907,T3_CF,CF,0.3817951,0.01519234325,0.430679515,-0.048884415000000014,True,63
sensitivity_w500_s125,cf_extension,18912,T3_CF,CF,0.36847245,0.008955918,0.384067335,-0.015594885000000003,True,85
sensitivity_w500_s125,cf_extension,19093,T3_CF,CF,0.4099755,0.013475829,0.44555433,-0.035578830000000006,True,125
sensitivity_w500_s125,cf_extension,19108,T3_CF,CF,0.37690464,0.0146285165,0.325725825,0.05117881499999999,False,27
sensitivity_w500_s125,cf_extension,19127,T3_CF,CF,0.40934077,0.0109060585,0.449465365,-0.040124594999999985,True,78
sensitivity_w500_s125,cf_extension,19159,T3_CF,CF,0.43521515,0.0128644025,0.45618124,-0.020966089999999993,True,99
sensitivity_w500_s125,cf_extension,19190,T3_CF,CF,0.41572344,0.00989419175,0.45270729,-0.036983849999999985,True,132
sensitivity_w500_s125,cf_extension,19193,T3_CF,CF,0.39365986,0.0108174745,0.440489545,-0.04682968500000001,True,68
sensitivity_w500_s125,cf_extension,19209,T3_CF,CF,0.3508313,0.0110863435,0.367963315,-0.017132015,True,69
sensitivity_w500_s125,cm_extension,18489,T3_CM,CM,0.44328415,0.0103664355,0.68375897,-0.24047481999999998,True,51
sensitivity_w500_s125,cm_extension,18499,T3_CM,CM,0.39467457,0.0113832079999999,0.5476233349999999,-0.15294876499999993,True,105
sensitivity_w500_s125,cm_extension,18505,T3_CM,CM,0.55877495,0.0137012115,0.7126617,-0.15388674999999996,True,56
