config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions,transition_id,destination_state,destination_state_median_pseudotime,referenced_files_exist
primary_w400_s100,cf_extension,18489,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18489.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18489_windows.csv,62,400,50,T3_CF,CF,0.355965305,True
primary_w400_s100,cf_extension,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18508_windows.csv,121,400,50,T3_CF,CF,0.41162326,True
primary_w400_s100,cf_extension,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18511_windows.csv,126,400,50,T3_CF,CF,0.3733011149999999,True
primary_w400_s100,cf_extension,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18517_windows.csv,69,400,50,T3_CF,CF,0.321171025,True
primary_w400_s100,cf_extension,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18520_windows.csv,102,400,50,T3_CF,CF,0.39014167,True
primary_w400_s100,cf_extension,18855,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18855.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18855_windows.csv,83,400,50,T3_CF,CF,0.4039907,True
primary_w400_s100,cf_extension,18907,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18907.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18907_windows.csv,79,400,50,T3_CF,CF,0.3817951,True
primary_w400_s100,cf_extension,18912,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18912.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_18912_windows.csv,108,400,50,T3_CF,CF,0.36847245,True
primary_w400_s100,cf_extension,19093,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_19093.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_19093_windows.csv,157,400,50,T3_CF,CF,0.4099755,True
primary_w400_s100,cf_extension,19127,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_19127.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cf_extension/cf_extension_individual_19127_windows.csv,98,400,50,T3_CF,CF,0.40934077,True
