scope,individual,transition_id,critical_value_source,metadata_json
cf_extension,18489,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.04513121, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18508,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.33628634999999996, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18511,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.0281686935, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18517,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.032046941499999995, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18520,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.013443681499999999, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18855,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.447423815, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18907,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.33253816, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,18912,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.043407945, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,19093,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.052113965, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,19127,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.335034185, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,19159,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.0492892825, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,19190,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.4541094, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,19193,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.3374431, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cf_extension,19209,T3_CF,data_driven_transition_energy_peak,"{""critical_value"": 0.0226253125, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18489,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.04513121, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18499,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.0252816145, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18505,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.042544889, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
cm_extension,18508,T3_CM,data_driven_transition_energy_peak,"{""critical_value"": 0.337310255, ""critical_value_source"": ""data_driven_transition_energy_peak"", ""reference_weights"": {""alpha_a"": 0.25, ""alpha_j"": 0.42, ""alpha_s"": 0.33}, ""transition_weight"": 0.18}"
