scope,individual,n_windows,trajectory_shape,parameters_strictly_increasing,result_parameters_match_input,all_primary_outputs_finite,gdis_bounded_0_1,critical_value_source,critical_value_source_match
cf_extension,18489,62,62x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18508,121,121x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18511,126,126x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18517,69,69x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18520,102,102x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18855,83,83x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18907,79,79x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,18912,108,108x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,19093,157,157x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,19127,98,98x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,19159,125,125x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,19190,166,166x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,19193,86,86x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cf_extension,19209,87,87x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18489,65,65x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18499,133,133x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18505,71,71x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18508,89,89x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18511,118,118x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18517,92,92x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18520,81,81x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18855,44,44x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18858,118,118x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18870,113,113x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18907,54,54x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,18912,128,128x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,19093,151,151x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,19193,65,65x400x50,True,True,True,True,data_driven_transition_energy_peak,True
cm_extension,19209,94,94x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18489,47,47x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18499,117,117x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18505,58,58x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18508,75,75x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18511,104,104x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18517,66,66x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18520,73,73x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18855,37,37x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18858,103,103x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18870,108,108x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18907,47,47x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,18912,100,100x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19093,126,126x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19108,32,32x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19127,58,58x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19159,56,56x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19190,84,84x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19193,56,56x400x50,True,True,True,True,data_driven_transition_energy_peak,True
shared_backbone,19209,85,85x400x50,True,True,True,True,data_driven_transition_energy_peak,True
