sensitivity_type,sensitivity_label,scope,individual,common_parameter_min,common_parameter_max,pearson_gdis_profile,spearman_gdis_profile,mean_abs_gdis_difference,primary_gdis_peak_parameter,sensitivity_gdis_peak_parameter,gdis_peak_shift,absolute_gdis_peak_shift,primary_abs_peak_landmark_error,sensitivity_abs_peak_landmark_error,primary_transition_energy_peak_parameter,sensitivity_transition_energy_peak_parameter,transition_energy_peak_shift,absolute_transition_energy_peak_shift,gdis_peak_within_0p05_of_primary
window,sensitivity_w300_s75,cf_extension,18489,0.0093122065,0.3976131499999999,0.9503257643378203,0.9472966927470837,0.014968103513875633,0.32632022,0.33076833,0.004448110000000005,0.004448110000000005,0.029645085000000015,0.02519697500000001,0.04513121,0.046061002000000004,0.0009297920000000057,0.0009297920000000057,True
window,sensitivity_w300_s75,cf_extension,18508,0.008214258,0.44899516,0.9172308793035705,0.981371093937503,0.014683518812722167,0.3362863499999999,0.33628634999999996,5.551115123125783e-17,5.551115123125783e-17,0.07533691000000009,0.07533691000000003,0.3362863499999999,0.33557461499999997,-0.0007117349999999356,0.0007117349999999356,True
window,sensitivity_w300_s75,cf_extension,18511,0.008324772,0.430135935,0.9807589432431619,0.963844285508568,0.011435892931673998,0.404366925,0.39927402,-0.005092904999999981,0.005092904999999981,0.031065810000000083,0.0259729050000001,0.0281686935,0.030856376,0.0026876825,0.0026876825,True
window,sensitivity_w300_s75,cf_extension,18517,0.0107778705,0.349083435,0.8719335958516118,0.9417216915470649,0.02679027594997497,0.328531825,0.33140215500000003,0.002870330000000032,0.002870330000000032,0.007360800000000001,0.010231130000000033,0.0320469414999999,0.0332020765,0.0011551350000000987,0.0011551350000000987,True
window,sensitivity_w300_s75,cf_extension,18520,0.0134436814999999,0.43961087,0.9213138819371872,0.9105465367445879,0.01605928925078956,0.42513638,0.427189175,0.002052794999999996,0.002052794999999996,0.034994709999999984,0.03704750499999998,0.0134436814999999,0.012137932,-0.0013057494999998993,0.0013057494999998993,True
window,sensitivity_w300_s75,cf_extension,18855,0.01420406175,0.447423815,0.9060052379652687,0.867878846061537,0.023036308861420548,0.447423815,0.445464335,-0.0019594800000000134,0.0019594800000000134,0.04343311500000002,0.04147363500000001,0.447423815,0.447423815,0.0,0.0,True
window,sensitivity_w300_s75,cf_extension,18907,0.014147929,0.430679515,0.9594716384955142,0.9233938463015408,0.01671585322207598,0.33790776,0.33253816,-0.005369599999999974,0.005369599999999974,0.04388734,0.04925693999999997,0.33253816,0.33253816,0.0,0.0,True
window,sensitivity_w300_s75,cf_extension,18912,0.0080636965,0.3958911149999999,0.9602927144972495,0.9316154178466854,0.013659504585907528,0.33438474,0.33517045,0.000785709999999995,0.000785709999999995,0.03408770999999999,0.033302,0.043407945,0.019526716,-0.023881229000000004,0.023881229000000004,True
window,sensitivity_w300_s75,cf_extension,19093,0.012019524,0.446863455,0.8312143276006588,0.960168578697259,0.030330437922206296,0.3366336049999999,0.33503294,-0.00160066499999989,0.00160066499999989,0.0733418950000001,0.07494255999999999,0.052113965,0.037758879999999995,-0.014355085000000004,0.014355085000000004,True
window,sensitivity_w300_s75,cf_extension,19127,0.009876764,0.450146245,0.9208595061354973,0.9388255172082755,0.01444583444068406,0.33329255,0.33454266,0.001250109999999971,0.001250109999999971,0.07604822,0.07479811000000003,0.335034185,0.33454266,-0.0004915249999999927,0.0004915249999999927,True
window,sensitivity_w300_s75,cf_extension,19159,0.0118863929999999,0.4574558749999999,0.9868987365129819,0.9891979071665146,0.007123461298131199,0.392594765,0.39411668499999997,0.0015219199999999544,0.0015219199999999544,0.04262038499999998,0.04109846500000003,0.0492892825,0.0477863135,-0.0015029690000000068,0.0015029690000000068,True
window,sensitivity_w300_s75,cf_extension,19190,0.0089863594999999,0.4541094,0.9765854365164659,0.951890942255076,0.012823401637383528,0.4541094,0.42210313499999996,-0.032006265000000034,0.032006265000000034,0.03838596,0.006379694999999963,0.4541094,0.42059996,-0.03350944,0.03350944,True
window,sensitivity_w300_s75,cf_extension,19193,0.009603269,0.44356114,0.956480795522018,0.8201906590505448,0.012837025442465592,0.335981865,0.3374431,0.0014612350000000052,0.0014612350000000052,0.05767799499999998,0.05621675999999998,0.3374431,0.3374431,0.0,0.0,True
window,sensitivity_w300_s75,cf_extension,19209,0.010101056,0.3712456,0.8653057136919177,0.8273807900926414,0.019220670679349593,0.33153374,0.36112054,0.02958679999999997,0.02958679999999997,0.01929755999999999,0.010289239999999977,0.0226253125,0.019985801499999997,-0.002639511000000004,0.002639511000000004,True
window,sensitivity_w300_s75,cm_extension,18489,0.0093122065,0.73342248,0.990830769304511,0.9793842461479384,0.0072173298732517354,0.73342248,0.7742872000000001,0.04086472000000008,0.04086472000000008,0.29013833,0.3310030500000001,0.04513121,0.046061002000000004,0.0009297920000000057,0.0009297920000000057,True
window,sensitivity_w300_s75,cm_extension,18499,0.0105001885,0.6397139000000001,0.9814661196306229,0.9026728747659963,0.0069506280105058,0.37102573,0.37954794000000003,0.00852221000000003,0.00852221000000003,0.023648840000000004,0.015126629999999974,0.0252816145,0.025528336,0.0002467214999999981,0.0002467214999999981,True
window,sensitivity_w300_s75,cm_extension,18505,0.0123187974999999,0.7460287,0.994837050683789,0.96560226563625,0.005013551336347513,0.3175279749999999,0.308287565,-0.009240409999999921,0.009240409999999921,0.24124697500000009,0.250487385,0.042544889,0.042904954499999995,0.0003600654999999925,0.0003600654999999925,True
window,sensitivity_w300_s75,cm_extension,18508,0.008214258,0.82214742,0.9881411757596184,0.9880758412134594,0.004138610175744893,0.33957605,0.34034279,0.000766739999999988,0.000766739999999988,0.3197993499999999,0.31903260999999994,0.337310255,0.33837779,0.0010675350000000083,0.0010675350000000083,True
window,sensitivity_w300_s75,cm_extension,18511,0.008324772,0.63081645,0.991688025094554,0.9548539336629386,0.0068708651211347,0.416084185,0.402120335,-0.01396385,0.01396385,0.010782255000000018,0.024746105000000018,0.0281686935,0.030856376,0.0026876825,0.0026876825,True
window,sensitivity_w300_s75,cm_extension,18517,0.0107778705,0.7437650849999999,0.8902095691821191,0.9944173186770986,0.030927259877577065,0.37059814,0.375268205,0.004670065000000001,0.004670065000000001,0.09539516999999997,0.09072510499999997,0.0320469414999999,0.032561742500000004,0.0005148010000001063,0.0005148010000001063,True
window,sensitivity_w300_s75,cm_extension,18520,0.0134436814999999,0.5861136,0.9844594491255055,0.9634280228483654,0.010421957962987605,0.31272839,0.332115025,0.019386634999999985,0.019386634999999985,0.12384455,0.10445791500000001,0.0134436814999999,0.33499418999999997,0.32155050850000005,0.32155050850000005,True
window,sensitivity_w300_s75,cm_extension,18855,0.01420406175,0.420748335,0.6980115565366249,0.7613693659098545,0.11124280220980845,0.420748335,0.30745818999999996,-0.11329014500000001,0.11329014500000001,0.019398764999999984,0.09389138000000002,0.0360830635,0.035084698,-0.0009983655000000008,0.0009983655000000008,False
window,sensitivity_w300_s75,cm_extension,18858,0.008778636,0.679256945,0.9744788255125875,0.9920203523256371,0.010879638490897564,0.3247392,0.37196651999999997,0.04722731999999996,0.04722731999999996,0.16562752999999997,0.11840021,0.0186478625,0.016173333999999998,-0.0024745285000000034,0.0024745285000000034,True
window,sensitivity_w300_s75,cm_extension,18870,0.0072889432,0.37247054,0.9914415683682654,0.9900066241059855,0.006844344719236926,0.35579095,0.35943919,0.003648240000000025,0.003648240000000025,0.0014569700000000019,0.002191270000000023,0.017458625,0.0162710835,-0.0011875415,0.0011875415,True
window,sensitivity_w300_s75,cm_extension,18907,0.014147929,0.42500528,0.9432027656183981,0.9926754668074689,0.029077588631958685,0.33734034,0.33648895,-0.0008513900000000074,0.0008513900000000074,0.0658436,0.06669499000000001,0.33467607,0.33648895,0.0018128800000000167,0.0018128800000000167,True
window,sensitivity_w300_s75,cm_extension,18912,0.0080636965,0.8515687000000001,0.988122072954699,0.9177435798972783,0.006367459568917483,0.3319578749999999,0.334112715,0.0021548400000001022,0.0021548400000001022,0.18251282500000005,0.18035798499999994,0.043407945,0.334112715,0.29070477,0.29070477,True
window,sensitivity_w300_s75,cm_extension,19093,0.012019524,0.8289179200000001,0.9830972979642107,0.9749420630730091,0.008843555875182763,0.33180962,0.42639494,0.09458531999999997,0.09458531999999997,0.3018141649999999,0.20722884499999994,0.052113965,0.037758879999999995,-0.014355085000000004,0.014355085000000004,False
