sensitivity_type,sensitivity_label,scope,n_profiles,median_pearson,median_spearman,median_mean_abs_difference,median_abs_peak_shift,max_abs_peak_shift,median_primary_abs_peak_landmark_error,median_sensitivity_abs_peak_landmark_error,fraction_peak_within_0p05_of_primary,median_abs_transition_energy_peak_shift
dimension,10PC,cf_extension,14,0.7658809428618053,0.853023952383238,0.03778683850146197,0.0017996949999999623,0.341013285,0.04050317249999999,0.04234695000000002,0.7857142857142857,0.0018438144999999365
dimension,10PC,cm_extension,15,0.9478772743324512,0.8189948639178226,0.023997346935787044,0.009058585000000008,0.34554999,0.09539516999999997,0.06850787000000003,0.8,9.71445146547012e-17
dimension,10PC,shared_backbone,19,0.8793358876793989,0.7938685738971822,0.03152755541341038,0.004127237999999998,0.308047462,0.03762016499999998,0.091546405,0.5789473684210527,0.000914011499999999
dimension,20PC,cf_extension,14,0.9083839718073282,0.9273982623721979,0.025914579896415234,0.004383262499999929,0.341013285,0.04050317249999999,0.03767424750000001,0.7857142857142857,0.0011135547499999884
dimension,20PC,cm_extension,15,0.9473826094158025,0.9276570825133201,0.01627627463950388,0.007458160000000047,0.299967255,0.09539516999999997,0.1036453550000001,0.7333333333333333,9.8879238130678e-17
dimension,20PC,shared_backbone,19,0.9369127309228558,0.8737134354149666,0.020046422139277147,0.004127237999999998,0.308047462,0.03762016499999998,0.08234328499999999,0.631578947368421,0.0007707195000000028
dimension,30PC,cf_extension,14,0.9359015135710023,0.9431862909806557,0.01796242859279134,2.7755575615628914e-17,0.091184345,0.04050317249999999,0.03669033499999999,0.9285714285714286,4.85722573273506e-17
dimension,30PC,cm_extension,15,0.9818252499442741,0.9730012960207363,0.011513363059329073,0.0,0.06620017,0.09539516999999997,0.09539516999999997,0.9333333333333333,5.551115123125783e-17
dimension,30PC,shared_backbone,19,0.9849821746418796,0.9675537848605577,0.013062295682730346,0.0,0.2559913799999999,0.03762016499999998,0.035751855,0.9473684210526315,9.71445146547012e-17
dimension,5PC,cf_extension,14,0.7388399440537103,0.45946027936446976,0.045282372238619445,0.078047275,0.4116926985,0.04050317249999999,0.04170325750000001,0.42857142857142855,0.002362345999999939
dimension,5PC,cm_extension,15,0.7979864260804486,0.694430182882926,0.03782933131428446,0.011188109999999918,0.34554999,0.09539516999999997,0.06085750499999998,0.7333333333333333,0.0015929534999999974
dimension,5PC,shared_backbone,19,0.8228386625304179,0.5835729851677627,0.04055113921416129,0.04018553999999991,0.3019496555,0.03762016499999998,0.18078734999999999,0.5263157894736842,0.0014943395000001011
window,sensitivity_w300_s75,cf_extension,14,0.9358198231375038,0.9402736043776702,0.0148258111632989,0.002006137500000005,0.032006265000000034,0.04050317249999999,0.039072985000000005,1.0,0.001230442249999999
window,sensitivity_w300_s75,cm_extension,15,0.9844594491255055,0.9749420630730091,0.0072173298732517354,0.009240409999999921,0.11329014500000001,0.09539516999999997,0.09389138000000002,0.8666666666666667,0.0011875415
window,sensitivity_w300_s75,shared_backbone,19,0.9520584427207701,0.9642167714683435,0.015492267359657298,0.005782734999999983,0.15184355500000002,0.03762016499999998,0.05109284999999997,0.9473684210526315,0.0027688915000000022
window,sensitivity_w500_s125,cf_extension,14,0.9489965306658226,0.9346352421638745,0.015139371944746122,0.001811574999999982,0.147063675,0.04050317249999999,0.04493089250000004,0.7857142857142857,0.0018677967499999767
window,sensitivity_w500_s125,cm_extension,15,0.9878630187089286,0.9779941439063023,0.0062889337271535475,0.003648240000000025,0.407749945,0.09539516999999997,0.11643839,0.8,0.0012192935000001001
window,sensitivity_w500_s125,shared_backbone,19,0.9617388836005575,0.9778305572889167,0.01455797133321146,0.002357145000000005,0.2660052395,0.03762016499999998,0.027912495000000037,0.9473684210526315,0.0015929534999999974
