day,differentiation,n_cells,NEUROG3_detected_fraction,PDX1_detected_fraction,NKX6-1_detected_fraction,INS_detected_fraction,PAX4_detected_fraction,NEUROD1_detected_fraction,TPH1_detected_fraction,SLC18A1_detected_fraction,ISL1_detected_fraction,PTF1A_detected_fraction
0,1,4563,0.01972386587771203,0.4751260135875521,0.23975454744685515,0.08831908831908832,0.05259697567389875,0.1185623493315801,0.002849002849002849,0.009423624808240192,0.07889546351084813,0.14507999123383739
0,2,1627,0.020282728948985862,0.5169022741241549,0.3177627535341119,0.07129686539643516,0.049170251997541485,0.09834050399508297,0.007375537799631223,0.00921942224953903,0.07375537799631224,0.14812538414259374
1,1,3406,0.21873165002935996,0.42924251321197887,0.12536699941280094,0.10657662947739284,0.12272460364063417,0.24750440399295362,0.007339988256018791,0.015560775102759836,0.10481503229594832,0.049911920140927775
1,2,2771,0.20678455431252254,0.47130999639119453,0.16708769397329484,0.0866113316492241,0.1302778780223746,0.22807650667629015,0.011187297004691447,0.01154817755322988,0.10285095633345363,0.07325875135330205
2,1,1942,0.33831101956745624,0.39546858908341914,0.26570545829042225,0.15087538619979401,0.2662203913491246,0.4572605561277034,0.025231719876416064,0.03810504634397528,0.13027806385169927,0.025231719876416064
2,2,1620,0.3080246913580247,0.3808641975308642,0.2302469135802469,0.14506172839506173,0.24074074074074073,0.4345679012345679,0.024074074074074074,0.029012345679012345,0.12962962962962962,0.030864197530864196
3,1,2901,0.3047225094794898,0.3929679420889349,0.3185108583247156,0.32023440193036884,0.2612892106170286,0.49155463633229923,0.06377111340916926,0.09065839365735953,0.17580144777662876,0.017580144777662874
3,2,9576,0.3082706766917293,0.2706766917293233,0.25219298245614036,0.4733709273182957,0.23851294903926482,0.4936299081035923,0.061507936507936505,0.07111528822055138,0.18295739348370926,0.021303258145363407
4,1,3337,0.22715013485166316,0.3302367395864549,0.3317350913994606,0.36260113874737787,0.24003596044351214,0.4827689541504345,0.14024572969733293,0.11657177105184298,0.19148936170212766,0.013784836679652383
4,2,3143,0.2103086223353484,0.3935730194082087,0.36652879414572065,0.35634743875278396,0.2529430480432708,0.46993318485523383,0.1568565065224308,0.10754056633789373,0.18326439707286032,0.0200445434298441
5,1,3346,0.19485953377166768,0.37686790197250447,0.3968918111177525,0.5511057979677226,0.2355050806933652,0.5125523012552301,0.22414823670053796,0.14973102211595934,0.21846981470412433,0.013747758517632994
5,2,3058,0.15761935905820798,0.3623283191628515,0.3620013080444735,0.4728580771746239,0.19816873773708307,0.4656638325703074,0.22073250490516677,0.11805101373446697,0.1998037933289732,0.01144538914323087
6,1,2448,0.127859477124183,0.352124183006536,0.3410947712418301,0.5661764705882353,0.20016339869281047,0.4526143790849673,0.25857843137254904,0.11805555555555555,0.21650326797385622,0.011029411764705883
6,2,3565,0.10154277699859747,0.30238429172510517,0.30042075736325385,0.5130434782608696,0.16830294530154277,0.41346423562412343,0.24712482468443198,0.08807854137447406,0.19214586255259467,0.009537166900420757
7,1,2141,0.1335824381130313,0.272302662307333,0.3250817375058384,0.6370854740775339,0.16394208313872022,0.4432508173750584,0.2615600186828585,0.09154600653900047,0.2167211583372256,0.008407286314806165
7,2,1830,0.10983606557377049,0.366120218579235,0.39617486338797814,0.6371584699453552,0.19562841530054645,0.47595628415300545,0.333879781420765,0.1273224043715847,0.2010928961748634,0.009836065573770493
