gene,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection
ABCA1,True,0.37375255165732557,1.9870557683654546,1.5075426,2,True
ABCC8,True,1.1184223880026698,2.151938862495714,1.3072166,2,True
ACKR3,True,0.1073975155058803,2.176035846607961,1.7458309,2,True
ACOXL,True,0.00300511073526308,1.9529302724060498,0.99176043,2,True
ACTA1,True,0.09346328087884145,3.5385307829633375,6.407175,2,True
ACTC1,True,0.5014988576164825,3.569857687710252,11.881896,2,True
ACTN1,True,1.5803484552321359,2.2993001103841664,1.619205,2,True
ACVR1C,True,1.7336188820674638,2.7720380128311364,1.5432273,2,True
ADAMTS15,True,0.028471083829478407,1.9733617631773508,1.0665561,2,True
ADCY2,True,0.4831850644268154,2.104509431549261,2.3184967,2,True
ADD3,True,0.7703603136420778,2.0127244686795045,1.3284287,2,True
ADGRG6,True,0.09110235227949869,2.1144615482616924,1.5518265,2,True
ADGRL2,True,0.4845576423338146,2.2051631203031503,3.0206258,2,True
ADI1,True,0.6312606128451808,2.1121306486218567,1.9850615,2,True
ADM,True,0.12740863137553254,1.9882163614681665,1.1121757,2,True
ADRA2A,True,0.854709205746951,2.45171515891722,2.9285104,2,True
AFP,True,0.05004645462058804,2.1997853649488572,1.8235656,2,True
AGA,True,0.2432882063043588,1.9380534208523683,0.94427246,2,True
AGR2,True,0.037165495260084926,2.1579930608441575,1.6753478,2,True
AGT,True,0.2845793922539089,1.9566302861499483,1.1109825,2,True
AHNAK,True,0.09835853482270493,2.052250613499875,1.3401796,2,True
AIM1,True,0.08592878292558884,2.1219555640900936,1.5715036,2,True
AKAP2,True,0.379102812678902,2.0133105328516767,1.6675684,2,True
ALDH1A1,True,1.4572471200261403,2.5293702068194044,2.6052938,2,True
ALDOC,True,0.4276349817650422,1.927440098944087,1.0719786,2,True
ALLC,True,0.002348488506003431,2.498412070726297,2.888678,2,True
AMBP,True,1.389528619259305,2.240735084806351,1.4063088,2,True
AMIGO2,True,0.3543080707104243,2.1740683147494684,2.80939,2,True
AMOTL2,True,0.5294075870242192,2.3628931883470896,3.915036,2,True
AMPH,True,0.084382898848179,2.003298762691853,1.1608887,2,True
ANGPT1,True,0.08867122892750115,1.998177957110451,1.1454246,2,True
ANGPT2,True,0.5908681094054771,2.149124019653888,2.4248421,2,True
ANK1,True,0.2358643156524104,2.0907146026388728,1.4697535,2,True
ANKRD1,True,0.04287423079471894,2.0124804543354413,1.1962559,2,True
ANKRD33B,True,0.008904714826272206,1.9676362065168016,1.0509254,2,True
ANKRD50,True,0.35656446262856223,1.9216908775255037,1.0441027,2,True
ANKS1A,True,0.44951519122192646,1.9125610155739825,0.97105587,2,True
ANLN,True,0.10826726799070667,2.0083663670088585,1.1890488,2,True
ANTXR2,True,0.5409770022545026,2.0214879658928844,1.5780207,2,True
ANXA2,True,0.5619574393696668,2.276872708669444,3.2981837,2,True
AOC1,True,0.22199169092778345,2.420691249361156,2.5978239,2,True
AP3B1,True,0.5064240746586953,2.0211984589945673,1.7305441,2,True
APEX2,True,0.2062915714759867,2.0130679475163866,1.2014894,2,True
APOA2,True,0.23198943307919065,2.2122403426704995,1.8713903,2,True
APOB,True,0.15943892630219,2.071936722683775,1.4143094,2,True
APOC1,True,0.5167590528569519,1.9552195180111012,1.2691828,2,True
APOE,True,1.1557161731445724,2.1671735655234476,1.171167,2,True
APOOL,True,1.0565383029086826,2.156826654681529,1.3273718,2,True
ARHGAP28,True,0.1608093487661825,1.9998237158224006,1.1558782,2,True
ARHGAP36,True,0.051025551559956056,2.2244116760551593,1.9323276,2,True
ARHGAP9,True,0.06938242341201645,2.068922466291757,1.3964372,2,True
ARHGEF19,True,0.41517867567046257,2.0733055393401925,2.0793502,2,True
ARID2,True,0.5144322114295089,1.91050652389076,0.9589079,2,True
ARL4D,True,0.22252637252434784,1.9570344640259618,1.0109504,2,True
ARSJ,True,0.024554691771133647,2.022246869621184,1.2217329,2,True
ARX,True,0.22778007938022082,2.6078607409182224,3.2217367,2,True
ASAH2B,True,0.20169250821173995,1.9146182039636805,0.86420864,2,True
