PC,rank,gene,loading,absolute_loading
1,1,CHGA,0.32210060954093933,0.32210060954093933
1,2,INS,0.16337983310222626,0.16337983310222626
1,3,SPINK1,-0.16208083927631378,0.16208083927631378
1,4,MAFB,0.1611940860748291,0.1611940860748291
1,5,FEV,0.15987133979797363,0.15987133979797363
1,6,DDC,0.15869231522083282,0.15869231522083282
1,7,FN1,-0.1562897115945816,0.1562897115945816
1,8,INSM1,0.14995282888412476,0.14995282888412476
1,9,SCGN,0.14712657034397125,0.14712657034397125
1,10,CALB2,0.1451353281736374,0.1451353281736374
1,11,STMN2,0.14378951489925385,0.14378951489925385
1,12,DLK1,-0.14049407839775085,0.14049407839775085
1,13,TAGLN2,0.12188111990690231,0.12188111990690231
1,14,C1QL1,0.121575728058815,0.121575728058815
1,15,IGFBP5,0.12086592614650726,0.12086592614650726
1,16,LAPTM4B,-0.10504897683858871,0.10504897683858871
1,17,ACVR1C,0.10251051187515259,0.10251051187515259
1,18,LDHB,-0.10021346807479858,0.10021346807479858
1,19,CRYBA2,0.0989319458603859,0.0989319458603859
1,20,NKX2-2,0.09884441643953323,0.09884441643953323
2,1,DLK1,0.2508651316165924,0.2508651316165924
2,2,INS,0.21697139739990234,0.21697139739990234
2,3,NEUROG3,-0.2005886733531952,0.2005886733531952
2,4,INSM1,-0.16857972741127014,0.16857972741127014
2,5,RGS4,-0.16038262844085693,0.16038262844085693
2,6,SOX4,-0.1535707712173462,0.1535707712173462
2,7,NREP,-0.13301871716976166,0.13301871716976166
2,8,IGF2,0.12965402007102966,0.12965402007102966
2,9,GCA,-0.12506139278411865,0.12506139278411865
2,10,TTR,0.12088711559772491,0.12088711559772491
2,11,ACVR1C,0.11717379838228226,0.11717379838228226
2,12,MID1IP1,-0.11417420953512192,0.11417420953512192
2,13,POU2F2,-0.11109782755374908,0.11109782755374908
2,14,C10orf10,-0.1048271656036377,0.1048271656036377
2,15,STMN2,0.10298394411802292,0.10298394411802292
2,16,MAFB,0.10297863930463791,0.10297863930463791
2,17,CD99,0.1027483344078064,0.1027483344078064
2,18,CBFA2T2,-0.10181566327810287,0.10181566327810287
2,19,GADD45A,-0.10083992034196854,0.10083992034196854
2,20,CLU,0.100064717233181,0.100064717233181
3,1,FEV,0.2531319260597229,0.2531319260597229
3,2,DLK1,-0.23686100542545319,0.23686100542545319
3,3,INS,-0.20617078244686127,0.20617078244686127
3,4,CALB2,-0.1887645721435547,0.1887645721435547
3,5,DDC,0.16395798325538635,0.16395798325538635
3,6,ERO1B,-0.15742114186286926,0.15742114186286926
3,7,ISL1,-0.1497948318719864,0.1497948318719864
