library.barcode,Assigned_cluster,Pseudotime_value,Pseudotime_branch,Differentiation,CellDay
stg5diff1_S5d0_b1.bcBNTD,prog_nkx61,0.0197689554181581,1,1,0
stg5diff1_S5d0_b1.bcHPIX,prog_nkx61,0.0378440366972477,0,1,0
stg5diff1_S5d0_b1.bcEZXD,prog_nkx61,0.0318643512450851,0,1,0
stg5diff1_S5d0_b1.bcBCCZ,prog_nkx61,0.0403514480963228,1,1,0
stg5diff1_S5d0_b1.bcGZWX,prog_nkx61,0.0609436435124508,0,1,0
stg5diff1_S5d0_b1.bcHDXK,prog_nkx61,0.0572730231044581,1,1,0
stg5diff1_S5d0_b1.bcEQRV,prog_nkx61,0.062745740498034,0,1,0
stg5diff1_S5d0_b1.bcCYIK,prog_nkx61,0.0290792922673656,0,1,0
stg5diff1_S5d0_b1.bcAISW,prog_nkx61,0.080377481288643,1,1,0
stg5diff1_S5d0_b1.bcCFSW,prog_nkx61,0.0059796854521625,0,1,0
stg5diff1_S5d0_b1.bcGSKS,prog_nkx61,0.0402195281782437,0,1,0
stg5diff1_S5d0_b1.bcBXAF,prog_nkx61,0.0824868938401048,0,1,0
stg5diff1_S5d0_b1.bcIFQM,prog_nkx61,0.0439310120403514,1,1,0
stg5diff1_S5d0_b1.bcAJLH,prog_nkx61,0.0541815815164334,1,1,0
stg5diff1_S5d0_b1.bcEKWK,prog_nkx61,0.0269495412844036,0,1,0
stg5diff1_S5d0_b1.bcACNN,prog_nkx61,0.0774082568807339,0,1,0
stg5diff1_S5d0_b1.bcEWBD,prog_nkx61,0.0628276539973787,0,1,0
stg5diff1_S5d0_b1.bcFBXF,prog_nkx61,0.0719166937845753,1,1,0
stg5diff1_S5d0_b1.bcCIOG,prog_nkx61,0.0261145460462089,1,1,0
stg5diff1_S5d0_b1.bcAZEB,prog_nkx61,0.0432801822323462,1,1,0
stg5diff1_S5d0_b1.bcGCEG,prog_nkx61,0.0749267816465994,1,1,0
stg5diff1_S5d0_b1.bcFTZP,prog_nkx61,0.0663499344692005,0,1,0
stg5diff1_S5d0_b1.bcDWHV,prog_nkx61,0.0721607549625772,1,1,0
stg5diff1_S5d0_b1.bcGDGR,prog_nkx61,0.0409209241783273,1,1,0
stg5diff1_S5d0_b1.bcEWLV,prog_nkx61,0.0120403514480963,1,1,0
stg5diff1_S5d0_b1.bcDLPG,prog_nkx61,0.0694760820045558,1,1,0
stg5diff1_S5d0_b1.bcEYPJ,prog_nkx61,0.0506833712984054,1,1,0
stg5diff1_S5d0_b1.bcFLAD,prog_nkx61,0.0753604193971166,0,1,0
stg5diff1_S5d0_b1.bcEPQB,prog_nkx61,0.0368610747051114,0,1,0
stg5diff1_S5d0_b1.bcHQAZ,prog_nkx61,0.0266840221282134,1,1,0
stg5diff1_S5d0_b1.bcAMOQ,prog_nkx61,0.0794825903026358,1,1,0
stg5diff1_S5d0_b1.bcFFJN,prog_nkx61,0.0724048161405792,1,1,0
stg5diff1_S5d0_b1.bcEFTG,prog_nkx61,0.0389908256880734,0,1,0
stg5diff1_S5d0_b1.bcIDYI,prog_nkx61,0.064875491480996,0,1,0
stg5diff1_S5d0_b1.bcGIAD,prog_nkx61,0.0154572079401236,1,1,0
stg5diff1_S5d0_b1.bcFXUX,prog_nkx61,0.0175724048161405,1,1,0
stg5diff1_S5d0_b1.bcHRTH,prog_nkx61,0.0268467295802147,1,1,0
stg5diff1_S5d0_b1.bcFRNN,prog_nkx61,0.0195773263433813,0,1,0
stg5diff1_S5d0_b1.bcAOZA,prog_nkx61,0.0722421086885779,1,1,0
stg5diff1_S5d0_b1.bcIIGL,prog_nkx61,0.0844528178243774,0,1,0
stg5diff1_S5d0_b1.bcEXDE,prog_nkx61,0.0679303612105434,1,1,0
stg5diff1_S5d0_b1.bcEAHU,prog_nkx61,0.0567660550458715,0,1,0
stg5diff1_S5d0_b1.bcFDFU,prog_nkx61,0.0240807028961926,1,1,0
stg5diff1_S5d0_b1.bcIBJT,prog_nkx61,0.0501952489424015,1,1,0
stg5diff1_S5d0_b1.bcFQVQ,prog_nkx61,0.0140072083879423,0,1,0
stg5diff1_S5d0_b1.bcEPGZ,prog_nkx61,0.014089121887287,0,1,0
stg5diff1_S5d0_b1.bcEYXY,prog_nkx61,0.0924803407601572,0,1,0
stg5diff1_S5d0_b1.bcBGID,prog_nkx61,0.0715923984272608,0,1,0
stg5diff1_S5d0_b1.bcAWVH,prog_nkx61,0.0523917995444191,1,1,0
stg5diff1_S5d0_b1.bcCUUY,prog_nkx61,0.0133519003931847,0,1,0
stg5diff1_S5d0_b1.bcGGBA,prog_nkx61,0.0502766026684022,1,1,0
stg5diff1_S5d0_b1.bcFKFC,prog_nkx61,0.0062642369020501,1,1,0
stg5diff1_S5d0_b1.bcGHSN,prog_nkx61,0.0227790432801822,1,1,0
stg5diff1_S5d0_b1.bcIFPA,prog_nkx61,0.0740498034076015,0,1,0
stg5diff1_S5d0_b1.bcGZFB,prog_nkx61,0.0371786527822974,1,1,0
stg5diff1_S5d0_b1.bcHFHG,prog_nkx61,0.0810283110966482,1,1,0
stg5diff1_S5d0_b1.bcFOHG,prog_nkx61,0.0617627785058977,0,1,0
stg5diff1_S5d0_b1.bcGWAD,prog_nkx61,0.0099115334207077,0,1,0
stg5diff1_S5d0_b1.bcBYKG,prog_nkx61,0.0669233289646133,0,1,0
stg5diff1_S5d0_b1.bcAATJ,prog_nkx61,0.0593068662544744,1,1,0
