dimension,train_differentiation,test_differentiation,n_train,n_test,balanced_accuracy,roc_auc
5,1,2,2740,3109,0.9748447685357213,0.9976070058864377
5,2,1,3109,2740,0.9812222578747527,0.9985499447385778
10,1,2,2740,3109,0.9759889332954468,0.9976835077182783
10,2,1,3109,2740,0.9823040893452413,0.9985560725172469
20,1,2,2740,3109,0.9742754183641387,0.9975679142910465
20,2,1,3109,2740,0.982622733836034,0.9984881098810988
30,1,2,2740,3109,0.9749288364827988,0.9975700159897236
30,2,1,3109,2740,0.983847175428276,0.9984624846248462
50,1,2,2740,3109,0.9687227304596667,0.9967482518070406
50,2,1,3109,2740,0.9807777153858495,0.9981572098329679
