branch,lineage,differentiation,state,state_median_pseudotime,nearest_window_parameter,absolute_parameter_difference,gdis,sustained_instability,transition_instability,transition_energy
0,SC-EC,1,prog_nkx61,0.0585681520314547,0.057298492791612,0.0012696592398427006,0.5393701714158556,0.509896206045983,0.048006187772366864,0.3485407648938046
0,SC-EC,1,neurog3_early,0.171403997378768,0.17132208387942333,8.191349934466574e-05,0.8419829601441811,0.8136224413369928,0.11851504866931219,0.8269417190237188
0,SC-EC,1,neurog3_mid,0.2702326343381389,0.26413007863695936,0.006102555701179513,0.7846961064276505,0.7917592167099233,0.027343026783567505,0.7769180394490436
0,SC-EC,1,neurog3_late,0.4175131061598951,0.40956749672346,0.00794560943643513,0.7425206401553102,0.7490955272535834,1.277015684626471e-05,0.3343852471508423
0,SC-EC,1,sc_ec,0.739644535840188,0.734283196239718,0.0053613396004699165,0.8105913263458588,0.8113558199947366,0.0,0.15455959691957505
0,SC-EC,2,prog_nkx61,0.0901048492791612,0.09592070773263431,0.005815858453473113,0.2849869110199872,0.2043560668545546,0.0665979908043291,0.39684378483432653
0,SC-EC,2,neurog3_early,0.1749672346002621,0.17263269986893837,0.002334534731323723,0.8639239267431817,0.8164330229121384,0.13963047249366975,0.7983825574144587
0,SC-EC,2,neurog3_mid,0.2741235255570117,0.27436926605504586,0.00024574049803416376,0.787731622177531,0.7899511887262765,0.0212449041787234,0.5195496248617217
0,SC-EC,2,neurog3_late,0.418086500655308,0.4223869593709043,0.004300458715596311,0.7544352154119283,0.7516939413330767,0.0001024511201121881,0.3393076736430458
0,SC-EC,2,sc_ec,0.7527173913043479,0.7625587544065805,0.009841363102232603,0.7972660047889395,0.7977467160230891,0.0,0.08859475617931245
1,SC-beta,1,prog_nkx61,0.0549137650504393,0.0551171493654409,0.00020338431500159515,0.4727197660912186,0.4511892750814622,0.032182621911344994,0.3805101669388683
1,SC-beta,1,neurog3_early,0.170517409697364,0.171127562642369,0.0006101529450049936,0.8241602280678606,0.8028556191955352,0.12113822126356004,0.7842908642265729
1,SC-beta,1,neurog3_mid,0.2690367718841523,0.261999674585096,0.007037097299056327,0.817615129360381,0.815177367165328,0.016273813372749156,0.315573917106799
1,SC-beta,1,neurog3_late,0.4162870159453303,0.4053449397982427,0.010942076147087587,0.7454195047395695,0.7414883476459927,0.000257400960112793,0.3784695737151798
1,SC-beta,1,sc_beta,0.7460122699386503,0.7680981595092025,0.02208588957055213,0.8032292790487159,0.8033063983841898,0.0,0.09825864780573901
1,SC-beta,2,prog_nkx61,0.0899772209567198,0.09652619589977215,0.0065489749430523575,0.2797553807881712,0.2109872314427952,0.049923718801277286,0.28608638922394186
1,SC-beta,2,neurog3_early,0.172876667751383,0.1706394402863651,0.0022372274650178936,0.8636124890430529,0.8149626392266296,0.1356391263757147,0.8334880837678379
1,SC-beta,2,neurog3_mid,0.2782297429222258,0.2733891962251871,0.004840546697038706,0.7919253104975554,0.7860472530324591,0.01647508623965055,0.4349692522687403
1,SC-beta,2,neurog3_late,0.4217377155873739,0.41950048812235596,0.0022372274650179214,0.7181393284008517,0.7361107830785252,2.773904197976984e-05,0.23016483394743445
1,SC-beta,2,sc_beta,0.7474437627811861,0.7493865030674847,0.0019427402862985943,0.7966281202716468,0.7961923042285306,0.0,0.07561574928868445
