config,branch,lineage,differentiation,n_windows,profile_pearson_vs_primary,profile_spearman_vs_primary,profile_mae_vs_primary,primary_peak_parameter,alternative_peak_parameter,absolute_peak_parameter_shift
sensitivity_w300_s75,0,SC-EC,1,56,0.945807627645473,0.9825815645391135,0.01587228287870349,0.19237385321100914,0.18836009174311924,0.004013761467889898
sensitivity_w300_s75,0,SC-EC,2,64,0.940106552073449,0.9456926423160581,0.01808674202542843,0.17263269986893837,0.17263269986893837,0.0
sensitivity_w300_s75,1,SC-beta,1,49,0.797865959592559,0.8306082652066302,0.04001192993274687,0.1896762121705174,0.284371949235275,0.09469573706475759
sensitivity_w300_s75,1,SC-beta,2,59,0.7890829755795745,0.9793864846621166,0.029616879802427755,0.1706394402863651,0.1706394402863651,0.0
primary_w400_s100,0,SC-EC,1,41,1.0,1.0,0.0,0.19237385321100914,0.19237385321100914,0.0
primary_w400_s100,0,SC-EC,2,47,1.0,1.0,0.0,0.17263269986893837,0.17263269986893837,0.0
primary_w400_s100,1,SC-beta,1,36,1.0,1.0,0.0,0.1896762121705174,0.1896762121705174,0.0
primary_w400_s100,1,SC-beta,2,43,1.0,1.0,0.0,0.1706394402863651,0.1706394402863651,0.0
sensitivity_w500_s125,0,SC-EC,1,32,0.9309630211043503,0.9450986274656868,0.017343642301451145,0.19237385321100914,0.18295380078636955,0.009420052424639586
sensitivity_w500_s125,0,SC-EC,2,37,0.9335603910945589,0.903987099677492,0.019503159769384017,0.17263269986893837,0.18500163826998683,0.012368938401048468
sensitivity_w500_s125,1,SC-beta,1,28,0.9844438095710156,0.9327713192829823,0.01762721252304641,0.1896762121705174,0.17999511877643992,0.009681093394077467
sensitivity_w500_s125,1,SC-beta,2,34,0.9097253861245019,0.9304492612315309,0.021916890832658423,0.1706394402863651,0.16738529124633905,0.0032541490400260498
