dimension,branch,lineage,differentiation,profile_pearson_vs_50PC,profile_spearman_vs_50PC,profile_mae_vs_50PC,primary_50PC_peak_parameter,dimension_peak_parameter,absolute_peak_parameter_shift
5,0,SC-EC,1,0.8444609143689259,0.8336338408460212,0.043067728924064894,0.19237385321100914,0.17132208387942333,0.021051769331585812
5,0,SC-EC,2,0.8457171028685584,0.710471761794045,0.03585551940373501,0.17263269986893837,0.17263269986893837,0.0
5,1,SC-beta,1,0.8988264017562961,0.8120078001950051,0.05937418254695413,0.1896762121705174,0.1542059876342336,0.03547022453628379
5,1,SC-beta,2,0.9392601896236609,0.9319567989199731,0.024815674166567495,0.1706394402863651,0.1706394402863651,0.0
10,0,SC-EC,1,0.8130717970337008,0.7175624390609765,0.056950373609713355,0.19237385321100914,0.17132208387942333,0.021051769331585812
10,0,SC-EC,2,0.9951294470249528,0.82081602040051,0.012610898773633457,0.17263269986893837,0.17263269986893837,0.0
10,1,SC-beta,1,0.9057584158726619,0.7606810170254258,0.04528364706534662,0.1896762121705174,0.171127562642369,0.018548649528148387
10,1,SC-beta,2,0.7896612466038337,0.8509217730443261,0.04641763041817911,0.1706394402863651,0.1706394402863651,0.0
20,0,SC-EC,1,0.9496276056260953,0.9116327908197707,0.018114511439459285,0.19237385321100914,0.19237385321100914,0.0
20,0,SC-EC,2,0.9855839503548549,0.8931088277206931,0.02234635119361743,0.17263269986893837,0.17263269986893837,0.0
20,1,SC-beta,1,0.8739001242072918,0.8344828620715519,0.03542700391300418,0.1896762121705174,0.261999674585096,0.0723234624145786
20,1,SC-beta,2,0.9815235305561715,0.9697712442811071,0.01740426675973775,0.1706394402863651,0.1706394402863651,0.0
30,0,SC-EC,1,0.9874986179295582,0.9692702317557941,0.012059541946512034,0.19237385321100914,0.19237385321100914,0.0
30,0,SC-EC,2,0.992904616540614,0.9501432535813397,0.014973100838041532,0.17263269986893837,0.17263269986893837,0.0
30,1,SC-beta,1,0.9927097279744466,0.9013995349883748,0.009725388335310555,0.1896762121705174,0.1896762121705174,0.0
30,1,SC-beta,2,0.9973121019453306,0.9767329183229583,0.007955552906978164,0.1706394402863651,0.1706394402863651,0.0
50,0,SC-EC,1,1.0,1.0,0.0,0.19237385321100914,0.19237385321100914,0.0
50,0,SC-EC,2,1.0,1.0,0.0,0.17263269986893837,0.17263269986893837,0.0
50,1,SC-beta,1,1.0,1.0,0.0,0.1896762121705174,0.1896762121705174,0.0
50,1,SC-beta,2,1.0,1.0,0.0,0.1706394402863651,0.1706394402863651,0.0
